PCTNUM,G20PREDBID,G20PRERTRU,G20PRELJOR,Winner,Winner Votes
PN0061,422,63,7,G20PRERTRU,296616
PN0088,1929,4435,87,G20PRERTRU,296616
PN0043,796,1319,30,G20PRERTRU,296616
PN0028,2041,3460,64,G20PRERTRU,296616
PN0040,885,1220,47,G20PRERTRU,296616
PN0042,538,898,25,G20PRERTRU,296616
PN0056,607,1215,30,G20PRERTRU,296616
PN0095,760,1389,32,G20PRERTRU,296616
PN0086,1474,2337,95,G20PRERTRU,296616
PN0096,439,1174,18,G20PRERTRU,296616
PN0098,630,1175,26,G20PRERTRU,296616
MC0468,904,1337,37,G20PRERTRU,296616
MC0024,1704,2678,55,G20PRERTRU,296616
MC0154,2221,1867,116,G20PRERTRU,296616
MC0416,2654,3217,148,G20PRERTRU,296616
MC0535,914,1154,47,G20PRERTRU,296616
MC0679,3386,4904,117,G20PRERTRU,296616
MC0624,2205,2555,85,G20PRERTRU,296616
MC0031,1323,1294,49,G20PRERTRU,296616
MC0641,866,1264,10,G20PRERTRU,296616
MC0380,2127,1659,50,G20PRERTRU,296616
MC0457,1362,1318,80,G20PRERTRU,296616
MC0563,950,1330,38,G20PRERTRU,296616
MC0565,1406,830,47,G20PRERTRU,296616
MC0126,1191,583,48,G20PRERTRU,296616
MC0254,812,604,34,G20PRERTRU,296616
MC0477,1311,1505,45,G20PRERTRU,296616
MC0419,1416,1514,76,G20PRERTRU,296616
MC0147,1037,1638,48,G20PRERTRU,296616
MC0503,2235,2365,71,G20PRERTRU,296616
MC0307,1347,995,66,G20PRERTRU,296616
MC0379,783,1646,37,G20PRERTRU,296616
MC0080,1367,2704,78,G20PRERTRU,296616
MC0365,719,1235,37,G20PRERTRU,296616
MC0287,1622,2139,77,G20PRERTRU,296616
MC0642,1635,2343,105,G20PRERTRU,296616
MC0275,2068,2666,124,G20PRERTRU,296616
MC0331,1553,1152,50,G20PRERTRU,296616
MC0165,1845,867,50,G20PRERTRU,296616
MC0232,1923,3342,83,G20PRERTRU,296616
MC0359,1833,2857,53,G20PRERTRU,296616
MC0298,1790,3231,68,G20PRERTRU,296616
MC0098,802,750,33,G20PRERTRU,296616
MC0026,1101,2368,56,G20PRERTRU,296616
MC0383,901,1673,62,G20PRERTRU,296616
MC0243,862,1470,39,G20PRERTRU,296616
MC0074,1049,1434,28,G20PRERTRU,296616
MC0529,1420,1970,56,G20PRERTRU,296616
MC0532,700,483,28,G20PRERTRU,296616
MC0245,3343,3582,76,G20PRERTRU,296616
MC0241,1906,1544,67,G20PRERTRU,296616
MC0446,1422,1429,42,G20PRERTRU,296616
MC0101,2006,2793,45,G20PRERTRU,296616
MC0640,1545,1706,34,G20PRERTRU,296616
MC0117,1594,2004,30,G20PRERTRU,296616
MC0127,2676,2355,66,G20PRERTRU,296616
MC0144,1638,2415,20,G20PRERTRU,296616
MC0356,2696,2588,68,G20PRERTRU,296616
MC0541,2730,5805,124,G20PRERTRU,296616
MC0612,2309,4846,91,G20PRERTRU,296616
MC0523,1199,3157,46,G20PRERTRU,296616
MC0611,1351,3689,68,G20PRERTRU,296616
MC0327,3038,3420,121,G20PRERTRU,296616
MC0163,1350,2157,60,G20PRERTRU,296616
MC0226,2235,3156,110,G20PRERTRU,296616
MC0301,2234,3402,84,G20PRERTRU,296616
MC0674,1150,1543,34,G20PRERTRU,296616
MC0443,1827,1937,54,G20PRERTRU,296616
MC0122,2644,2505,89,G20PRERTRU,296616
MC0517,1720,2409,74,G20PRERTRU,296616
MC0669,1207,1894,54,G20PRERTRU,296616
MC0516,985,1181,66,G20PRERTRU,296616
MC0111,1429,1505,40,G20PRERTRU,296616
MC0265,1877,1983,79,G20PRERTRU,296616
MC0455,2196,3526,80,G20PRERTRU,296616
MC0128,874,763,36,G20PRERTRU,296616
