SRPREC,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREAFUE,G20PREPLAR,Winner,Winner Votes
384138,0,0,0,0,0,0,G20PRERTRU,246718
384226,0,0,0,0,0,0,G20PRERTRU,246718
285033,41,73,0,0,0,1,G20PRERTRU,246718
385050,22,16,0,0,0,0,G20PRERTRU,246718
483020,162,79,1,2,1,7,G20PRERTRU,246718
38908,3,3,0,0,0,0,G20PRERTRU,246718
33121,0,0,0,0,0,0,G20PRERTRU,246718
33103,0,0,0,0,0,0,G20PRERTRU,246718
38915,3,4,0,0,0,0,G20PRERTRU,246718
33112,0,0,0,0,0,0,G20PRERTRU,246718
33105,0,0,0,0,0,0,G20PRERTRU,246718
33508,522,569,20,2,2,3,G20PRERTRU,246718
33408,420,499,15,1,1,2,G20PRERTRU,246718
38601,0,0,0,0,0,0,G20PRERTRU,246718
33208,354,317,5,4,1,0,G20PRERTRU,246718
33128,147,215,4,0,1,0,G20PRERTRU,246718
33421,103,228,4,3,2,0,G20PRERTRU,246718
33505,1389,1392,36,8,10,1,G20PRERTRU,246718
33207,905,1158,40,10,6,2,G20PRERTRU,246718
33418,530,630,13,3,0,3,G20PRERTRU,246718
33108,0,0,0,0,0,0,G20PRERTRU,246718
38903,223,280,3,1,1,1,G20PRERTRU,246718
33301,1284,1649,39,14,17,4,G20PRERTRU,246718
38603,15,12,0,0,0,0,G20PRERTRU,246718
33423,1572,2212,33,16,17,5,G20PRERTRU,246718
32425,2,4,0,0,0,0,G20PRERTRU,246718
33216,1787,2118,50,15,7,7,G20PRERTRU,246718
33317,3537,4570,140,29,28,9,G20PRERTRU,246718
18615,11,6,0,1,0,0,G20PRERTRU,246718
32322,22,88,1,0,1,0,G20PRERTRU,246718
33111,1039,1206,47,11,14,5,G20PRERTRU,246718
33204,1571,1943,56,14,15,8,G20PRERTRU,246718
30962,1263,1722,44,7,5,2,G20PRERTRU,246718
33119,4190,4493,126,22,43,17,G20PRERTRU,246718
38901,27,36,1,1,0,0,G20PRERTRU,246718
18613,4,26,0,0,0,0,G20PRERTRU,246718
30904,147,381,6,0,2,2,G20PRERTRU,246718
33415,1986,2677,54,21,13,9,G20PRERTRU,246718
33101,1,0,0,0,0,0,G20PRERTRU,246718
38902,162,106,7,0,1,1,G20PRERTRU,246718
33501,2192,1947,90,24,16,15,G20PRERTRU,246718
30972,6,29,0,0,0,0,G20PRERTRU,246718
18614,28,72,0,0,1,0,G20PRERTRU,246718
30957,163,496,9,0,3,0,G20PRERTRU,246718
37955,112,214,4,2,0,0,G20PRERTRU,246718
49903,0,0,0,0,0,0,G20PRERTRU,246718
37973,102,225,3,1,1,1,G20PRERTRU,246718
49905,0,0,0,0,0,0,G20PRERTRU,246718
30943,131,375,5,2,1,1,G20PRERTRU,246718
39900,0,0,0,0,0,0,G20PRERTRU,246718
18612,379,742,20,1,1,2,G20PRERTRU,246718
49900,0,0,0,0,0,0,G20PRERTRU,246718
49907,0,0,0,0,0,0,G20PRERTRU,246718
37984,605,1160,21,6,11,6,G20PRERTRU,246718
135300,1049,756,12,18,2,2,G20PRERTRU,246718
175210,620,389,7,5,1,1,G20PRERTRU,246718
175240,2888,1831,66,23,21,4,G20PRERTRU,246718
403420,1149,1209,45,11,10,3,G20PRERTRU,246718
408010,2934,2128,57,17,14,1,G20PRERTRU,246718
408040,4513,2918,113,26,22,7,G20PRERTRU,246718
408050,2048,1377,58,9,11,5,G20PRERTRU,246718
408130,337,211,5,1,0,0,G20PRERTRU,246718
408160,680,476,11,4,6,1,G20PRERTRU,246718
419500,1572,1154,51,12,10,8,G20PRERTRU,246718
419540,2648,3807,81,18,16,8,G20PRERTRU,246718
419640,1991,1854,61,26,10,7,G20PRERTRU,246718
419690,383,573,9,3,7,1,G20PRERTRU,246718
419790,2537,3931,94,13,11,5,G20PRERTRU,246718
420050,291,477,17,2,2,0,G20PRERTRU,246718
420650,108,187,5,0,0,2,G20PRERTRU,246718
421001,444,508,18,3,2,2,G20PRERTRU,246718
421400,621,1072,20,7,3,1,G20PRERTRU,246718
421640,147,278,6,0,1,0,G20PRERTRU,246718
421720,182,295,8,1,0,2,G20PRERTRU,246718
422930,465,425,16,2,5,2,G20PRERTRU,246718
422980,3177,2833,102,43,27,14,G20PRERTRU,246718
423010,145,182,5,1,0,0,G20PRERTRU,246718
425480,733,411,16,7,1,2,G20PRERTRU,246718
428400,899,872,24,7,10,2,G20PRERTRU,246718
428620,589,625,14,6,4,3,G20PRERTRU,246718
428631,1354,1448,33,11,5,5,G20PRERTRU,246718
428720,172,135,3,0,1,2,G20PRERTRU,246718
428820,768,822,25,4,10,2,G20PRERTRU,246718
429370,165,139,7,2,0,0,G20PRERTRU,246718
429900,405,317,7,0,2,1,G20PRERTRU,246718
430100,289,273,5,1,2,0,G20PRERTRU,246718
430200,512,576,10,2,1,1,G20PRERTRU,246718
430280,863,852,12,6,4,1,G20PRERTRU,246718
430330,113,100,6,5,0,0,G20PRERTRU,246718
432000,2418,1724,70,18,14,6,G20PRERTRU,246718
432050,2150,896,45,16,7,6,G20PRERTRU,246718
432060,908,630,28,8,2,2,G20PRERTRU,246718
432080,1855,1745,60,18,16,0,G20PRERTRU,246718
432230,1437,1345,40,14,5,5,G20PRERTRU,246718
432231,153,100,4,0,1,4,G20PRERTRU,246718
432240,1848,1465,30,15,8,1,G20PRERTRU,246718
432270,524,253,10,1,3,2,G20PRERTRU,246718
432320,1471,1057,52,17,12,7,G20PRERTRU,246718
432321,1631,1488,43,8,11,2,G20PRERTRU,246718
432520,1400,759,41,15,5,10,G20PRERTRU,246718
432550,291,132,3,3,1,3,G20PRERTRU,246718
432570,1494,1155,26,11,4,2,G20PRERTRU,246718
432580,224,226,3,1,0,1,G20PRERTRU,246718
432611,404,197,8,5,3,2,G20PRERTRU,246718
432620,853,490,21,8,1,3,G20PRERTRU,246718
432700,1149,629,27,17,5,1,G20PRERTRU,246718
432740,715,487,15,4,4,0,G20PRERTRU,246718
432790,484,352,14,2,3,4,G20PRERTRU,246718
432832,2250,1550,57,9,14,1,G20PRERTRU,246718
432970,816,488,21,3,6,1,G20PRERTRU,246718
433820,187,187,8,2,2,0,G20PRERTRU,246718
433980,193,166,6,0,1,0,G20PRERTRU,246718
434200,176,207,12,0,1,0,G20PRERTRU,246718
434230,665,507,19,3,4,1,G20PRERTRU,246718
435100,749,861,22,4,4,2,G20PRERTRU,246718
435120,352,371,10,2,2,1,G20PRERTRU,246718
435200,160,83,2,0,0,0,G20PRERTRU,246718
443050,592,700,33,6,2,3,G20PRERTRU,246718
443300,89,203,2,2,0,0,G20PRERTRU,246718
443430,339,347,17,1,3,1,G20PRERTRU,246718
443480,173,211,13,1,1,1,G20PRERTRU,246718
444680,343,409,15,1,1,1,G20PRERTRU,246718
444780,99,149,1,2,0,0,G20PRERTRU,246718
444890,232,91,3,4,1,0,G20PRERTRU,246718
445940,890,761,18,4,6,5,G20PRERTRU,246718
447170,551,944,10,4,0,3,G20PRERTRU,246718
448020,714,988,32,7,7,4,G20PRERTRU,246718
448040,1785,2840,57,13,12,3,G20PRERTRU,246718
448290,367,512,12,1,2,1,G20PRERTRU,246718
448320,528,683,21,3,0,1,G20PRERTRU,246718
448520,978,1570,34,5,8,1,G20PRERTRU,246718
450000,1046,1474,32,6,7,1,G20PRERTRU,246718
450020,706,998,30,16,2,0,G20PRERTRU,246718
450340,199,229,7,3,2,0,G20PRERTRU,246718
450600,304,266,14,5,2,1,G20PRERTRU,246718
450900,416,500,17,2,2,0,G20PRERTRU,246718
450970,1442,1647,40,11,11,3,G20PRERTRU,246718
451200,213,183,12,2,2,1,G20PRERTRU,246718
454500,781,722,29,5,7,4,G20PRERTRU,246718
454510,1347,1489,32,13,7,5,G20PRERTRU,246718
454530,1612,1477,31,11,6,3,G20PRERTRU,246718
454540,977,1134,24,5,5,0,G20PRERTRU,246718
454560,446,294,12,4,5,4,G20PRERTRU,246718
454610,618,592,24,8,5,1,G20PRERTRU,246718
454640,671,751,19,5,8,2,G20PRERTRU,246718
454680,354,243,10,5,1,1,G20PRERTRU,246718
454690,1755,1155,39,18,8,5,G20PRERTRU,246718
454800,262,215,4,5,1,1,G20PRERTRU,246718
454830,314,295,3,1,3,1,G20PRERTRU,246718
454900,113,101,0,1,1,0,G20PRERTRU,246718
455000,2951,1402,42,23,18,16,G20PRERTRU,246718
455040,1280,1158,29,14,9,3,G20PRERTRU,246718
455100,1393,944,33,11,5,9,G20PRERTRU,246718
455230,160,178,6,1,0,1,G20PRERTRU,246718
455240,1704,688,41,17,13,12,G20PRERTRU,246718
