PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREUWES,G20PREOOTH,Winner,Winner Votes
4255601248,212,723,14,2,3,5,4,G20PRERTRU,323301
6245601071,416,381,26,2,1,4,4,G20PRERTRU,323301
6253001243,258,655,4,0,1,1,4,G20PRERTRU,323301
4255601249,49,282,4,0,0,0,2,G20PRERTRU,323301
4255601251,271,841,29,4,1,1,10,G20PRERTRU,323301
4255601246,372,799,28,6,2,8,4,G20PRERTRU,323301
4253001245,72,279,5,0,0,0,1,G20PRERTRU,323301
6253001242,132,303,8,1,1,0,2,G20PRERTRU,323301
4255601241,9,31,0,0,0,0,0,G20PRERTRU,323301
6255601171,623,540,19,2,2,5,17,G20PRERTRU,323301
6255601172,121,125,1,0,0,2,0,G20PRERTRU,323301
6255601228,295,586,8,3,2,2,1,G20PRERTRU,323301
6255601244,183,647,6,1,4,3,1,G20PRERTRU,323301
4255601247,187,699,17,1,3,2,7,G20PRERTRU,323301
6255601175,540,712,25,2,9,3,4,G20PRERTRU,323301
6255601176,179,271,7,0,3,0,3,G20PRERTRU,323301
6255601178,24,18,0,0,0,0,0,G20PRERTRU,323301
6255601163,190,386,11,5,0,1,4,G20PRERTRU,323301
4295603359,0,0,0,0,0,0,0,G20PRERTRU,323301
6283603349,0,0,0,0,0,0,0,G20PRERTRU,323301
6283603351,854,782,40,1,2,3,5,G20PRERTRU,323301
6283603342,895,658,27,4,2,7,4,G20PRERTRU,323301
6283603340,1421,923,31,4,3,3,9,G20PRERTRU,323301
4283603350,0,0,0,0,0,0,0,G20PRERTRU,323301
4293603358,2,10,0,0,0,0,0,G20PRERTRU,323301
6293603345,265,178,3,0,0,1,1,G20PRERTRU,323301
6283603344,827,592,19,4,0,6,5,G20PRERTRU,323301
4283603348,0,0,0,0,0,0,0,G20PRERTRU,323301
6295603355,1711,1317,40,3,1,12,7,G20PRERTRU,323301
6283603372,883,676,26,3,2,4,5,G20PRERTRU,323301
6273703241,636,325,8,2,3,3,4,G20PRERTRU,323301
6273703218,545,292,16,2,1,2,2,G20PRERTRU,323301
6273703240,942,527,18,2,2,5,1,G20PRERTRU,323301
6273703242,439,224,15,2,0,4,1,G20PRERTRU,323301
6273703243,684,414,16,5,1,2,5,G20PRERTRU,323301
6273703286,1033,600,36,4,2,5,0,G20PRERTRU,323301
6295603326,520,770,9,2,1,2,2,G20PRERTRU,323301
6273703260,825,556,32,5,2,5,4,G20PRERTRU,323301
4295603357,0,0,0,0,0,0,0,G20PRERTRU,323301
6295603377,934,1054,25,8,2,5,9,G20PRERTRU,323301
4295603364,271,1004,23,3,4,1,6,G20PRERTRU,323301
4295603365,144,581,11,0,2,1,5,G20PRERTRU,323301
4295603366,245,650,9,1,1,2,1,G20PRERTRU,323301
4295603363,224,894,18,3,5,2,2,G20PRERTRU,323301
4293603361,0,0,0,0,0,0,0,G20PRERTRU,323301
4295603362,284,746,18,0,3,4,1,G20PRERTRU,323301
6293603360,435,277,13,2,2,2,7,G20PRERTRU,323301
2181107702,224,153,4,0,0,0,1,G20PRERTRU,323301
4171107623,861,258,18,10,2,7,6,G20PRERTRU,323301
4171107643,455,266,17,3,1,1,5,G20PRERTRU,323301
4171107654,816,359,28,3,5,4,8,G20PRERTRU,323301
4171107645,491,291,8,4,4,0,2,G20PRERTRU,323301
4171107630,571,232,8,4,0,3,6,G20PRERTRU,323301
4171107628,658,245,8,4,5,5,6,G20PRERTRU,323301
4171107644,554,186,14,7,0,6,2,G20PRERTRU,323301
4171107635,444,302,16,2,2,1,4,G20PRERTRU,323301
4171107640,505,290,10,5,4,1,1,G20PRERTRU,323301
4171107636,658,383,16,5,0,2,7,G20PRERTRU,323301
4171107637,903,322,13,5,1,4,3,G20PRERTRU,323301
4171107648,535,407,12,1,2,3,9,G20PRERTRU,323301
4171107626,697,317,20,6,5,1,2,G20PRERTRU,323301
4171107649,450,212,13,3,0,5,1,G20PRERTRU,323301
4171107639,559,311,8,4,0,0,3,G20PRERTRU,323301
4171107633,532,217,24,4,4,4,8,G20PRERTRU,323301
4171107632,710,395,21,2,3,0,1,G20PRERTRU,323301
4171107651,611,279,25,4,2,4,4,G20PRERTRU,323301
4171107646,495,385,11,2,3,3,7,G20PRERTRU,323301
4171107652,608,270,10,1,1,1,8,G20PRERTRU,323301
4171107625,662,135,16,2,0,2,2,G20PRERTRU,323301
4171107631,416,168,8,2,2,0,10,G20PRERTRU,323301
4171107629,444,110,6,1,2,3,0,G20PRERTRU,323301
4171107627,453,226,13,10,2,4,5,G20PRERTRU,323301
4171107634,482,220,14,3,2,1,7,G20PRERTRU,323301
4171107624,635,193,8,2,1,4,2,G20PRERTRU,323301
4171107653,408,260,9,1,1,1,5,G20PRERTRU,323301
4171107642,807,360,16,4,1,0,4,G20PRERTRU,323301
4171107647,969,565,27,1,6,5,1,G20PRERTRU,323301
4171107650,464,269,17,6,1,3,4,G20PRERTRU,323301
4171107641,483,254,13,0,1,3,3,G20PRERTRU,323301
4171107638,529,359,10,1,0,1,6,G20PRERTRU,323301
4181107706,119,60,2,0,0,0,1,G20PRERTRU,323301
4171207611,744,260,20,2,1,1,1,G20PRERTRU,323301
4171207614,979,381,16,4,2,2,2,G20PRERTRU,323301
4171207607,651,271,25,1,1,1,2,G20PRERTRU,323301
4171207612,699,283,26,1,1,1,5,G20PRERTRU,323301
4171207606,593,269,9,3,1,0,5,G20PRERTRU,323301
4171207613,519,231,11,5,0,2,6,G20PRERTRU,323301
4171207609,334,121,9,0,3,2,1,G20PRERTRU,323301
4171207608,580,240,6,5,1,1,2,G20PRERTRU,323301
4171207615,592,193,7,0,0,0,3,G20PRERTRU,323301
2181207406,420,262,6,2,1,1,1,G20PRERTRU,323301
4171107620,1125,419,21,4,0,1,8,G20PRERTRU,323301
4171107616,732,311,20,4,1,1,3,G20PRERTRU,323301
4171107621,768,238,9,0,1,1,2,G20PRERTRU,323301
4171107622,493,149,4,0,1,0,8,G20PRERTRU,323301
4171207605,669,304,17,2,3,2,7,G20PRERTRU,323301
4171207602,474,296,11,3,0,1,5,G20PRERTRU,323301
4171207604,510,354,17,1,4,3,3,G20PRERTRU,323301
2181107703,303,133,10,0,0,0,0,G20PRERTRU,323301
4171107619,1087,321,35,11,3,2,9,G20PRERTRU,323301
4171207603,812,454,15,3,3,2,6,G20PRERTRU,323301
2171207407,238,185,5,2,0,0,0,G20PRERTRU,323301
2173307408,788,430,35,4,0,0,7,G20PRERTRU,323301
