PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREGSTE,G16PREUMCM,G16PREOOTH,Winner,Winner Votes
2233364037,67,73,10,2,3,0,G16PREDCLI,241248
2233364036,840,604,94,18,38,18,G16PREDCLI,241248
4016420007,302,899,80,6,15,16,G16PREDCLI,241248
1162230009,661,750,74,14,13,13,G16PREDCLI,241248
1162230006,556,756,80,18,24,8,G16PREDCLI,241248
1162230008,504,691,80,33,20,11,G16PREDCLI,241248
1162230002,441,456,50,7,16,4,G16PREDCLI,241248
1162230012,604,823,82,9,23,6,G16PREDCLI,241248
6253001226,59,110,8,0,2,1,G16PREDCLI,241248
7243101147,637,591,77,22,9,18,G16PREDCLI,241248
7243101086,391,456,55,4,19,11,G16PREDCLI,241248
7243401080,423,420,50,11,8,5,G16PREDCLI,241248
7243101079,320,355,50,12,14,6,G16PREDCLI,241248
6243101150,606,559,77,12,17,14,G16PREDCLI,241248
6255601198,169,361,28,6,3,4,G16PREDCLI,241248
6255601193,374,438,71,14,22,20,G16PREDCLI,241248
6255601192,355,309,32,11,11,11,G16PREDCLI,241248
6255601191,553,493,51,6,16,19,G16PREDCLI,241248
6255601190,381,539,51,14,15,17,G16PREDCLI,241248
6255601196,36,41,6,2,0,1,G16PREDCLI,241248
6255601189,252,394,32,2,7,13,G16PREDCLI,241248
6255601188,233,395,29,3,7,8,G16PREDCLI,241248
6255601187,404,419,52,5,8,12,G16PREDCLI,241248
7213001140,226,198,16,6,7,6,G16PREDCLI,241248
6255601197,13,31,2,0,1,2,G16PREDCLI,241248
7253001142,293,424,22,12,17,6,G16PREDCLI,241248
6255601186,410,518,44,10,11,16,G16PREDCLI,241248
6253001154,13,26,3,0,1,0,G16PREDCLI,241248
6255601165,406,573,29,3,4,3,G16PREDCLI,241248
6255601169,119,271,24,2,2,4,G16PREDCLI,241248
7213001207,267,247,42,9,2,8,G16PREDCLI,241248
7213001205,479,518,47,6,4,15,G16PREDCLI,241248
6255601161,32,81,8,1,0,0,G16PREDCLI,241248
6253001152,426,414,61,7,6,7,G16PREDCLI,241248
7253001148,374,332,52,8,6,6,G16PREDCLI,241248
7243101145,569,504,85,10,13,12,G16PREDCLI,241248
6245601074,367,469,42,10,23,11,G16PREDCLI,241248
6243401076,486,459,62,8,13,7,G16PREDCLI,241248
7243401081,416,367,56,22,12,4,G16PREDCLI,241248
6243101159,435,523,59,10,16,14,G16PREDCLI,241248
7213001206,461,509,43,14,5,9,G16PREDCLI,241248
6255601164,118,240,17,2,0,3,G16PREDCLI,241248
6255601167,170,302,16,2,2,4,G16PREDCLI,241248
6255601166,117,256,18,2,5,6,G16PREDCLI,241248
6253001157,358,341,39,6,14,6,G16PREDCLI,241248
6253001156,113,147,9,1,3,1,G16PREDCLI,241248
6253001155,132,128,29,7,4,2,G16PREDCLI,241248
6243101151,504,590,71,14,8,10,G16PREDCLI,241248
6253101158,313,324,42,10,11,7,G16PREDCLI,241248
6255601168,118,144,12,0,1,0,G16PREDCLI,241248
6255601181,425,506,89,15,17,17,G16PREDCLI,241248
6255601180,271,424,43,5,18,6,G16PREDCLI,241248
6255601179,0,0,0,0,0,0,G16PREDCLI,241248
6255601174,113,222,16,4,2,7,G16PREDCLI,241248
6255601183,72,121,15,1,2,0,G16PREDCLI,241248
6255601185,159,273,19,3,4,11,G16PREDCLI,241248
6255601184,80,145,8,4,2,9,G16PREDCLI,241248
6255601182,222,265,27,5,11,2,G16PREDCLI,241248
6255601195,134,172,7,2,8,5,G16PREDCLI,241248
6255601194,104,211,24,3,2,6,G16PREDCLI,241248
7213001204,259,290,30,6,5,10,G16PREDCLI,241248
7213001199,200,340,32,5,5,8,G16PREDCLI,241248
7213001202,148,172,16,1,6,4,G16PREDCLI,241248
7243101078,184,224,31,6,11,6,G16PREDCLI,241248
7243101149,440,496,53,6,14,17,G16PREDCLI,241248
6253001153,258,324,35,4,9,7,G16PREDCLI,241248
6243401077,263,288,35,3,12,13,G16PREDCLI,241248
6253001231,699,200,37,23,10,5,G16PREDCLI,241248
6253001230,707,199,44,19,6,19,G16PREDCLI,241248
6255601173,25,51,3,2,1,0,G16PREDCLI,241248
6245601071,292,336,53,4,14,8,G16PREDCLI,241248
6253001232,866,270,47,24,11,18,G16PREDCLI,241248
6253001233,675,250,33,20,6,20,G16PREDCLI,241248
