PRECINCT_N,G20PRERTRU,G20PREDBID,G20PRELJOR,Winner,Winner Votes
02 BRANDYWINE,1404,1820,59,G20PREDBID,305805
01 BIG CREEK,5095,3871,126,G20PREDBID,305805
BERKSHIRE B,1008,2589,42,G20PREDBID,305805
JC15,266,430,10,G20PREDBID,305805
JC14,1040,1042,21,G20PREDBID,305805
JC05,700,1054,29,G20PREDBID,305805
AP01E,0,0,0,G20PREDBID,305805
RW21,1420,1186,41,G20PREDBID,305805
JC07,1403,2145,38,G20PREDBID,305805
AP01D,278,392,19,G20PREDBID,305805
AP01C,879,978,37,G20PREDBID,305805
AP01B,400,486,21,G20PREDBID,305805
SS26,382,1791,41,G20PREDBID,305805
JC08,1013,1267,28,G20PREDBID,305805
RW08,1008,823,26,G20PREDBID,305805
JC09,947,1426,31,G20PREDBID,305805
AP07B,755,768,11,G20PREDBID,305805
AP12A,185,320,6,G20PREDBID,305805
AP12C,955,792,14,G20PREDBID,305805
RW07B,74,203,9,G20PREDBID,305805
AP12D,0,0,0,G20PREDBID,305805
RW07A,145,754,15,G20PREDBID,305805
SS13A,653,855,22,G20PREDBID,305805
PINCKNEYVILLE P,649,972,26,G20PREDBID,305805
PINCKNEYVILLE H,1485,1980,42,G20PREDBID,305805
PINCKNEYVILLE F,452,1065,27,G20PREDBID,305805
PINCKNEYVILLE M,1265,950,37,G20PREDBID,305805
PINCKNEYVILLE U,528,955,12,G20PREDBID,305805
SUWANEE G,1233,1676,50,G20PREDBID,305805
SUWANEE H,1876,1203,44,G20PREDBID,305805
DULUTH H,894,1167,37,G20PREDBID,305805
PINCKNEYVILLE A1,1228,1041,36,G20PREDBID,305805
PINCKNEYVILLE Z,873,722,28,G20PREDBID,305805
AVERY,2302,580,39,G20PREDBID,305805
UNION HILL,2693,712,48,G20PREDBID,305805
FREEHOME,3596,1016,78,G20PREDBID,305805
NEESE,3295,2179,104,G20PREDBID,305805
RW12,1849,1723,49,G20PREDBID,305805
ML04,1576,1075,29,G20PREDBID,305805
ML02B,960,568,26,G20PREDBID,305805
ML01A,1236,1078,38,G20PREDBID,305805
RW16,856,804,25,G20PREDBID,305805
AP06,888,694,20,G20PREDBID,305805
SS03,473,741,20,G20PREDBID,305805
SS31,504,777,18,G20PREDBID,305805
RW17,765,1351,53,G20PREDBID,305805
SS05,692,864,24,G20PREDBID,305805
RW06,934,1335,43,G20PREDBID,305805
RW20,1045,1119,29,G20PREDBID,305805
RW04,650,883,20,G20PREDBID,305805
AP03,101,325,4,G20PREDBID,305805
AP022,778,1000,18,G20PREDBID,305805
AP021,1266,1291,38,G20PREDBID,305805
AP02B,203,280,6,G20PREDBID,305805
AP04A,764,658,30,G20PREDBID,305805
AP04B,205,193,5,G20PREDBID,305805
RW03,1347,2038,44,G20PREDBID,305805
AP14,1161,1419,36,G20PREDBID,305805
JC03A,198,283,5,G20PREDBID,305805
JC16,976,1108,27,G20PREDBID,305805
ML03A,146,64,1,G20PREDBID,305805
ML03,1902,1114,35,G20PREDBID,305805
RW12A,818,724,22,G20PREDBID,305805
SS06,625,776,16,G20PREDBID,305805
SS04,895,1799,36,G20PREDBID,305805
SS09B,1399,1545,25,G20PREDBID,305805
RW13,1329,1583,57,G20PREDBID,305805
JC04B,80,149,1,G20PREDBID,305805
RW22A,1100,2040,50,G20PREDBID,305805
AP09A,1508,1933,45,G20PREDBID,305805
JC10,725,1246,27,G20PREDBID,305805
RW22B,0,0,0,G20PREDBID,305805
RW05,615,1220,28,G20PREDBID,305805
AP10,476,343,14,G20PREDBID,305805
SS11A,936,1785,47,G20PREDBID,305805
SS07A,471,527,8,G20PREDBID,305805
SS11D,145,172,8,G20PREDBID,305805
SS11C,33,161,5,G20PREDBID,305805
SS15B,344,756,26,G20PREDBID,305805
SS15A,238,1273,18,G20PREDBID,305805
SS07C,230,299,10,G20PREDBID,305805
SS07B,195,370,4,G20PREDBID,305805
SS08C,152,345,7,G20PREDBID,305805
SS11B,235,655,10,G20PREDBID,305805
SS08B,252,308,3,G20PREDBID,305805
SS02A,331,564,20,G20PREDBID,305805
SS02B,231,684,14,G20PREDBID,305805
AP07A,1370,1464,37,G20PREDBID,305805
DULUTH C,680,887,31,G20PREDBID,305805
PINCKNEYVILLE O,480,1461,26,G20PREDBID,305805
PINCKNEYVILLE N,383,1922,37,G20PREDBID,305805
AP01A,1864,2195,50,G20PREDBID,305805
JC18,1151,1146,34,G20PREDBID,305805
RW19,950,801,30,G20PREDBID,305805
PINCKNEYVILLE X,1130,1509,35,G20PREDBID,305805
PINCKNEYVILLE E,277,1017,20,G20PREDBID,305805
ARNOLD MILL,2796,1099,72,G20PREDBID,305805
LITTLE RIVER,3584,2310,93,G20PREDBID,305805
WOODSTOCK,2954,2124,98,G20PREDBID,305805
CARMEL,1723,1316,52,G20PREDBID,305805
35 JOHNS CREEK,3539,3167,80,G20PREDBID,305805
19 OLD ATLANTA,1811,1169,29,G20PREDBID,305805
MOUNTAIN ROAD,1755,653,46,G20PREDBID,305805
DULUTH A,1479,2301,68,G20PREDBID,305805
KITTREDGE ELEM,734,1079,32,G20PREDBID,305805
BRIARCLIFF,745,1573,30,G20PREDBID,305805
HAWTHORNE ELEM,624,2034,40,G20PREDBID,305805
KINGSLEY ELEM,1067,1043,26,G20PREDBID,305805
ASHFORD PARKSIDE,1048,1715,33,G20PREDBID,305805
AUSTIN,1104,1077,31,G20PREDBID,305805
DORAVILLE NORTH,473,1398,25,G20PREDBID,305805
DORAVILLE SOUTH,240,589,12,G20PREDBID,305805
MIDVALE ELEM,963,1333,31,G20PREDBID,305805
MONTCLAIR ELEM,168,1067,13,G20PREDBID,305805
MONTGOMERY ELEM,783,1256,35,G20PREDBID,305805
OAK GROVE ELEM,525,1341,24,G20PREDBID,305805
HENDERSON MILL,687,1671,41,G20PREDBID,305805
GEORGETOWN SQ,893,1939,45,G20PREDBID,305805
LIVSEY ELEM,391,719,16,G20PREDBID,305805
EMBRY HILLS,434,917,26,G20PREDBID,305805
EVANSDALE ELEM,759,1723,40,G20PREDBID,305805
SAGAMORE HILLS ELEM,710,1801,35,G20PREDBID,305805
DUNWOODY,705,1497,31,G20PREDBID,305805
OAKCLIFF ELEM,377,913,13,G20PREDBID,305805
DUNWOODY 2,794,936,27,G20PREDBID,305805
PEACHTREE MIDDLE,653,1803,25,G20PREDBID,305805
LAKESIDE HIGH,819,1765,49,G20PREDBID,305805
HUNTLEY HILLS ELEM,595,1819,49,G20PREDBID,305805
DRESDEN ELEM,866,2466,50,G20PREDBID,305805
MOUNT VERNON WEST,802,1084,35,G20PREDBID,305805
MOUNT VERNON EAST,1108,1124,33,G20PREDBID,305805
CHESNUT ELEM,420,1262,16,G20PREDBID,305805
DUNWOODY LIBRARY,1071,1129,26,G20PREDBID,305805
ML02A,1397,679,28,G20PREDBID,305805
ML01B,346,206,7,G20PREDBID,305805
MP01,180,189,7,G20PREDBID,305805
RW09A,802,491,19,G20PREDBID,305805
RW09,2229,1641,52,G20PREDBID,305805
RW01,2276,1928,50,G20PREDBID,305805
RW11A,900,1154,26,G20PREDBID,305805
RW02,1523,1737,70,G20PREDBID,305805
SS18A,247,297,7,G20PREDBID,305805
SS18B,99,100,1,G20PREDBID,305805
SS19A,494,1530,40,G20PREDBID,305805
SS22,691,1082,19,G20PREDBID,305805
SS19B,443,1222,28,G20PREDBID,305805
RW11B,0,0,0,G20PREDBID,305805
SS09A,1273,1300,34,G20PREDBID,305805
SS16,833,905,32,G20PREDBID,305805
JC06,967,1094,23,G20PREDBID,305805
JC13A,1067,768,13,G20PREDBID,305805
JC13B,156,76,3,G20PREDBID,305805
JC01,1197,2238,27,G20PREDBID,305805
JC19,1362,1794,59,G20PREDBID,305805
RW10,1599,1347,55,G20PREDBID,305805
JC03B,445,777,21,G20PREDBID,305805
JC11,1364,1314,33,G20PREDBID,305805
JC12,1328,907,26,G20PREDBID,305805
JC01A,376,664,4,G20PREDBID,305805
JC02,897,1306,17,G20PREDBID,305805
AP09B,238,453,15,G20PREDBID,305805
ML05,1794,1869,32,G20PREDBID,305805
ML06B,774,1431,28,G20PREDBID,305805
JC04A,1070,1522,20,G20PREDBID,305805
AP05,1857,1927,38,G20PREDBID,305805
JC04C,361,596,21,G20PREDBID,305805
ML06A,446,939,18,G20PREDBID,305805
AP12B,201,406,9,G20PREDBID,305805
ML07A,411,235,9,G20PREDBID,305805
ML07B,841,476,15,G20PREDBID,305805
PINCKNEYVILLE L,1089,898,38,G20PREDBID,305805
SS12,942,1302,20,G20PREDBID,305805
SS08A,381,911,26,G20PREDBID,305805
07M,452,1039,20,G20PREDBID,305805
SS14,665,500,12,G20PREDBID,305805
07B,1280,1154,29,G20PREDBID,305805
SS08D,310,717,16,G20PREDBID,305805
SS20,449,1059,23,G20PREDBID,305805
SS17,1253,1471,24,G20PREDBID,305805
SS01,2038,1807,51,G20PREDBID,305805
WINTERS CHAPEL,532,652,19,G20PREDBID,305805
TILLY MILL ROAD,609,674,15,G20PREDBID,305805
WARREN TECH,248,665,11,G20PREDBID,305805
TUCKER,609,1521,22,G20PREDBID,305805
SILVER LAKE,1522,2173,52,G20PREDBID,305805
SKYLAND,650,990,29,G20PREDBID,305805
PLEASANTDALE ROAD,394,2068,42,G20PREDBID,305805
NORTH PEACHTREE,345,851,22,G20PREDBID,305805
MONTREAL,375,1459,20,G20PREDBID,305805
BRIARLAKE ELEM,476,994,24,G20PREDBID,305805
BROCKETT ELEM,549,1387,28,G20PREDBID,305805
ASHFORD PARK ELEM,890,1075,39,G20PREDBID,305805
CROSS KEYS HIGH,479,1107,41,G20PREDBID,305805
BRIARWOOD,615,1160,30,G20PREDBID,305805
BROOKHAVEN,1112,1631,50,G20PREDBID,305805
NORTHLAKE,323,909,28,G20PREDBID,305805
BROCKETT,565,1361,30,G20PREDBID,305805
WOODWARD,542,1779,33,G20PREDBID,305805
ASHFORD DUNWOODY RD,987,1469,37,G20PREDBID,305805
CHAMBLEE 2,831,1652,37,G20PREDBID,305805
CHAMBLEE,495,1124,33,G20PREDBID,305805
TUCKER LIBRARY,987,1750,52,G20PREDBID,305805
MIDVALE ROAD,210,1060,16,G20PREDBID,305805
HUGH HOWELL,516,910,27,G20PREDBID,305805
ADDISON 01,930,990,36,G20PREDBID,305805
GARRISON MILL 01,1211,1105,37,G20PREDBID,305805
BELLS FERRY 02,1127,1127,51,G20PREDBID,305805
HIGHTOWER 01,1858,1640,78,G20PREDBID,305805
BIG SHANTY 02,1231,1229,38,G20PREDBID,305805
EASTSIDE 02,1698,1601,73,G20PREDBID,305805
ELIZABETH 02,1022,864,26,G20PREDBID,305805
ELIZABETH 03,1226,1014,40,G20PREDBID,305805
EAST PIEDMONT 01,782,1077,27,G20PREDBID,305805
BLACKWELL 01,908,1113,42,G20PREDBID,305805
CHATTAHOOCHEE 01,986,2860,77,G20PREDBID,305805
MABRY 01,833,538,26,G20PREDBID,305805
CHALKER 01,1349,2467,67,G20PREDBID,305805
CHESTNUT RIDGE 01,1446,1215,40,G20PREDBID,305805
