NUMBER,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREBSEG,G20PREOWRI,Winner,Winner Votes
09-033,1715,356,28,15,3,18,G20PREDBID,296087
04-014,2521,475,27,23,3,25,G20PREDBID,296087
09-040,1757,408,14,10,4,19,G20PREDBID,296087
09-035,2795,751,25,10,1,33,G20PREDBID,296087
08-008,1847,780,28,16,9,28,G20PREDBID,296087
09-039,14,11,1,0,0,0,G20PREDBID,296087
06-013,1175,340,7,3,1,14,G20PREDBID,296087
06-011,50,12,0,0,0,0,G20PREDBID,296087
09-037,1104,333,10,19,9,14,G20PREDBID,296087
06-015,2444,816,28,34,6,23,G20PREDBID,296087
02-007,50,23,1,0,0,2,G20PREDBID,296087
12-004,1233,744,34,9,2,26,G20PREDBID,296087
02-009,249,192,4,3,0,5,G20PREDBID,296087
04-018,2054,494,22,5,2,29,G20PREDBID,296087
04-023,162,66,0,0,0,1,G20PREDBID,296087
04-009,1007,224,14,8,7,10,G20PREDBID,296087
13-043,1214,382,20,17,5,4,G20PREDBID,296087
13-070,117,40,1,0,1,0,G20PREDBID,296087
04-025,1102,317,7,5,2,10,G20PREDBID,296087
09-031,2515,483,24,12,4,26,G20PREDBID,296087
04-020,2537,755,19,11,5,49,G20PREDBID,296087
03-002,1217,738,23,6,2,21,G20PREDBID,296087
09-024,1270,328,11,15,7,7,G20PREDBID,296087
06-007,2455,766,36,22,18,23,G20PREDBID,296087
04-019,1136,355,10,9,2,12,G20PREDBID,296087
09-027,2407,576,38,13,7,21,G20PREDBID,296087
09-007,1862,387,16,33,13,8,G20PREDBID,296087
09-006,2154,563,28,19,7,17,G20PREDBID,296087
09-013,2072,585,34,10,9,16,G20PREDBID,296087
09-002,2601,716,27,32,23,14,G20PREDBID,296087
09-010,497,136,10,7,5,4,G20PREDBID,296087
10-001,894,392,15,10,1,16,G20PREDBID,296087
04-011,469,147,2,0,3,6,G20PREDBID,296087
06-014,820,229,12,10,4,11,G20PREDBID,296087
13-064,1766,236,9,19,10,7,G20PREDBID,296087
04-035,207,79,1,1,0,2,G20PREDBID,296087
13-071,1384,317,7,4,0,3,G20PREDBID,296087
06-008,1303,336,11,9,2,17,G20PREDBID,296087
13-052,1343,385,13,6,2,19,G20PREDBID,296087
13-054,1658,427,4,7,2,8,G20PREDBID,296087
04-001,2249,501,15,30,12,15,G20PREDBID,296087
06-004,1517,350,29,11,4,21,G20PREDBID,296087
09-001,2232,537,18,17,12,19,G20PREDBID,296087
13-046,1272,519,10,9,8,19,G20PREDBID,296087
09-020,1267,363,10,13,5,14,G20PREDBID,296087
03-001,1497,875,26,17,5,22,G20PREDBID,296087
01-002,1318,754,20,11,2,29,G20PREDBID,296087
01-005,1510,810,11,12,3,31,G20PREDBID,296087
02-003,2384,518,28,21,14,12,G20PREDBID,296087
09-025,1320,467,22,10,6,9,G20PREDBID,296087
02-011,2245,732,18,17,3,30,G20PREDBID,296087
09-034,1802,414,14,13,16,16,G20PREDBID,296087
01-003,2428,633,21,20,12,26,G20PREDBID,296087
02-001,2987,840,36,33,9,20,G20PREDBID,296087
09-018,1510,376,15,18,13,4,G20PREDBID,296087
13-051,1834,537,16,18,7,19,G20PREDBID,296087
06-006,1746,562,12,16,7,19,G20PREDBID,296087
06-009,1638,793,26,10,8,30,G20PREDBID,296087
09-016,1282,303,14,23,13,11,G20PREDBID,296087
09-003,1221,342,12,11,6,9,G20PREDBID,296087
09-036,1335,395,23,20,5,13,G20PREDBID,296087
09-014,1709,475,29,16,3,23,G20PREDBID,296087
09-028,765,150,3,2,2,5,G20PREDBID,296087
09-004,1555,471,24,16,4,17,G20PREDBID,296087
06-003,1494,466,30,13,2,16,G20PREDBID,296087
09-009,2480,531,22,22,14,13,G20PREDBID,296087
06-010,1963,501,20,23,10,17,G20PREDBID,296087
02-004,2777,695,40,27,14,23,G20PREDBID,296087
02-005,2061,560,28,23,9,17,G20PREDBID,296087
09-030,1630,447,19,11,5,12,G20PREDBID,296087
01-006,1004,387,14,6,8,17,G20PREDBID,296087
09-012,1665,445,19,17,11,11,G20PREDBID,296087
12-005,1520,860,39,25,10,24,G20PREDBID,296087
12-003,1720,1317,37,12,6,24,G20PREDBID,296087
11-000,883,580,21,4,2,9,G20PREDBID,296087
02-008,3129,1148,27,21,12,28,G20PREDBID,296087
12-001,926,962,16,6,2,20,G20PREDBID,296087
06-016,0,0,0,0,0,0,G20PREDBID,296087
09-038,331,53,2,2,2,4,G20PREDBID,296087
04-041,0,0,0,0,0,0,G20PREDBID,296087
06-001,1278,574,21,4,2,18,G20PREDBID,296087
04-034,1058,400,14,5,8,19,G20PREDBID,296087
09-026,1659,390,14,24,10,11,G20PREDBID,296087
09-021,1314,443,21,13,10,18,G20PREDBID,296087
09-015,1638,367,24,28,12,10,G20PREDBID,296087
08-004,770,342,14,5,1,13,G20PREDBID,296087
09-029,1493,349,18,17,10,5,G20PREDBID,296087
09-041,1381,303,15,11,4,10,G20PREDBID,296087
09-008,2222,472,32,18,11,15,G20PREDBID,296087
01-004,1149,366,18,18,8,10,G20PREDBID,296087
09-005,1608,454,20,15,6,17,G20PREDBID,296087
02-002,2515,663,24,34,7,18,G20PREDBID,296087
02-010,1133,300,11,9,7,10,G20PREDBID,296087
02-006,3223,1017,25,22,10,26,G20PREDBID,296087
09-011,1481,414,23,8,9,17,G20PREDBID,296087
09-022,2058,535,23,28,14,16,G20PREDBID,296087
07-020,1590,356,13,10,4,11,G20PREDBID,296087
10-003,1537,412,20,11,5,27,G20PREDBID,296087
07-015,2453,525,20,5,0,24,G20PREDBID,296087
10-012,1909,474,14,9,4,18,G20PREDBID,296087
10-007,1733,532,17,5,1,29,G20PREDBID,296087
10-009,1457,670,19,10,4,28,G20PREDBID,296087
13-055,1030,137,6,7,6,4,G20PREDBID,296087
04-024,1669,497,17,10,2,15,G20PREDBID,296087
07-028,1283,256,12,3,0,18,G20PREDBID,296087
10-005,1631,414,15,8,3,24,G20PREDBID,296087
10-013,1132,289,8,5,2,17,G20PREDBID,296087
04-013,1517,293,18,5,1,25,G20PREDBID,296087
04-012,2219,616,27,12,2,27,G20PREDBID,296087
04-032,904,242,8,1,2,12,G20PREDBID,296087
10-004,1013,267,4,4,1,12,G20PREDBID,296087
10-002,1422,685,15,6,1,37,G20PREDBID,296087
10-011,1132,294,4,9,5,7,G20PREDBID,296087
10-006,1651,376,17,7,3,20,G20PREDBID,296087
04-029,791,260,5,3,2,9,G20PREDBID,296087
06-002,2043,779,22,13,5,28,G20PREDBID,296087
04-021,1806,408,17,4,6,25,G20PREDBID,296087
04-016,2607,749,29,22,6,34,G20PREDBID,296087
13-045,964,250,10,18,6,11,G20PREDBID,296087
06-005,2300,739,19,11,14,26,G20PREDBID,296087
13-069,1561,460,5,1,0,9,G20PREDBID,296087
08-003,1732,637,26,12,5,22,G20PREDBID,296087
01-001,1132,863,21,8,1,28,G20PREDBID,296087
09-032,345,68,4,7,2,1,G20PREDBID,296087
12-002,1039,962,34,8,3,24,G20PREDBID,296087
13-025,2000,433,14,23,15,14,G20PREDBID,296087
13-036,1398,380,20,12,8,7,G20PREDBID,296087
13-035,1470,382,9,12,12,13,G20PREDBID,296087
13-037,1036,362,20,9,9,4,G20PREDBID,296087
04-036,0,0,0,0,0,0,G20PREDBID,296087
04-042,7,1,0,0,0,0,G20PREDBID,296087
14-002,155,358,5,3,0,1,G20PREDBID,296087
09-001,573,960,20,3,0,7,G20PREDBID,296087
25-002,764,656,18,3,1,3,G20PREDBID,296087
27-001,954,981,21,5,2,16,G20PREDBID,296087
07-002,464,897,18,3,2,7,G20PREDBID,296087
06-002,703,1124,30,4,1,11,G20PREDBID,296087
21-001,920,741,22,9,8,9,G20PREDBID,296087
18-003,1103,903,22,15,4,12,G20PREDBID,296087
10-004,250,381,6,1,1,4,G20PREDBID,296087
10-001,789,1106,19,10,2,7,G20PREDBID,296087
21-002,740,621,22,8,1,6,G20PREDBID,296087
22-001,573,329,14,11,0,6,G20PREDBID,296087
10-003,438,591,16,8,2,9,G20PREDBID,296087
18-001,459,1047,19,3,1,6,G20PREDBID,296087
10-002,1150,1266,31,15,6,16,G20PREDBID,296087
03-003,414,494,12,7,6,4,G20PREDBID,296087
20-001,277,868,11,4,0,2,G20PREDBID,296087
02-001,641,1392,30,7,2,12,G20PREDBID,296087
12-001,373,999,19,2,3,5,G20PREDBID,296087
07-001,483,1200,17,5,0,8,G20PREDBID,296087
27-002,898,1104,25,11,3,10,G20PREDBID,296087
17-001,1259,1071,41,14,6,4,G20PREDBID,296087
21-003,497,356,15,4,0,2,G20PREDBID,296087
25-001,324,83,3,4,2,0,G20PREDBID,296087
01-001,617,1196,27,8,2,9,G20PREDBID,296087
11-001,256,386,6,4,1,2,G20PREDBID,296087
03-001,244,147,3,4,1,1,G20PREDBID,296087
08-001,449,950,18,9,2,3,G20PREDBID,296087
06-001,470,1072,23,8,2,7,G20PREDBID,296087
03-002,389,278,15,5,1,4,G20PREDBID,296087
11-002,101,221,4,2,2,0,G20PREDBID,296087
19-001,529,890,20,5,1,6,G20PREDBID,296087
