PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
A,693,338,16,10,1,G20PREDBID,300969
2,1463,1270,47,22,21,G20PREDBID,300969
1,1877,1318,70,15,24,G20PREDBID,300969
1,956,1008,41,16,2,G20PREDBID,300969
B,869,636,25,11,4,G20PREDBID,300969
B,980,613,36,11,5,G20PREDBID,300969
C,801,493,23,12,5,G20PREDBID,300969
2,886,333,7,6,4,G20PREDBID,300969
5,1104,700,23,10,7,G20PREDBID,300969
4,1124,1210,33,8,0,G20PREDBID,300969
8,1155,1397,39,6,0,G20PREDBID,300969
6,1196,780,9,12,5,G20PREDBID,300969
4,1166,762,21,17,10,G20PREDBID,300969
1,893,820,26,11,0,G20PREDBID,300969
7,986,811,21,9,0,G20PREDBID,300969
7,1660,861,59,9,16,G20PREDBID,300969
2,1229,573,20,5,14,G20PREDBID,300969
2,1305,568,18,13,8,G20PREDBID,300969
1,565,306,11,3,7,G20PREDBID,300969
B,1064,672,20,8,9,G20PREDBID,300969
A,982,712,33,10,2,G20PREDBID,300969
2,798,381,14,3,5,G20PREDBID,300969
5,1563,866,56,11,11,G20PREDBID,300969
6,1576,882,47,16,10,G20PREDBID,300969
9,1664,902,37,17,14,G20PREDBID,300969
8,1552,837,43,11,10,G20PREDBID,300969
B,952,629,42,14,2,G20PREDBID,300969
9,1192,1195,24,13,9,G20PREDBID,300969
4,1891,706,43,10,15,G20PREDBID,300969
B,896,742,39,15,8,G20PREDBID,300969
1,962,508,23,7,6,G20PREDBID,300969
2,1062,535,19,7,11,G20PREDBID,300969
1,1154,865,46,13,12,G20PREDBID,300969
2,1304,897,42,8,13,G20PREDBID,300969
1,703,347,14,5,3,G20PREDBID,300969
1,866,380,14,5,6,G20PREDBID,300969
2,878,374,21,5,1,G20PREDBID,300969
1,679,339,19,10,2,G20PREDBID,300969
1,640,292,11,3,3,G20PREDBID,300969
2,1018,466,22,12,12,G20PREDBID,300969
1,1615,811,37,9,18,G20PREDBID,300969
2,1060,601,34,8,9,G20PREDBID,300969
1,845,430,10,4,6,G20PREDBID,300969
5,1652,758,41,8,11,G20PREDBID,300969
3,942,947,28,2,0,G20PREDBID,300969
2,799,743,23,7,0,G20PREDBID,300969
9,951,972,24,13,0,G20PREDBID,300969
1,1243,877,46,7,0,G20PREDBID,300969
1,2529,1140,75,18,0,G20PREDBID,300969
5,894,1010,34,10,0,G20PREDBID,300969
