PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREIPIE,G20PREOWRI,Winner,Winner Votes
Tuxedo 1,203,220,3,7,3,1,G20PREDBID,233226
Woodbury 2,300,282,6,4,1,0,G20PREDBID,233226
Putnam Valley 3,383,300,5,1,3,1,G20PREDBID,233226
Putnam Valley 1,343,382,2,0,4,4,G20PREDBID,233226
Philipstown 4,337,249,6,2,3,3,G20PREDBID,233226
Philipstown 10,273,84,2,1,2,1,G20PREDBID,233226
Stony Point 4,319,521,2,5,0,4,G20PREDBID,233226
Stony Point 13,365,549,5,2,2,1,G20PREDBID,233226
Stony Point 12,287,376,1,2,3,0,G20PREDBID,233226
Stony Point 9,222,278,2,0,2,2,G20PREDBID,233226
Stony Point 8,278,431,7,1,2,2,G20PREDBID,233226
Haverstraw 24,147,109,1,2,0,2,G20PREDBID,233226
Stony Point 7,301,450,0,2,2,2,G20PREDBID,233226
Stony Point 1,229,282,6,1,0,1,G20PREDBID,233226
Stony Point 10,181,266,3,0,2,1,G20PREDBID,233226
Stony Point 11,226,329,4,1,4,2,G20PREDBID,233226
Stony Point 6,330,395,2,2,2,0,G20PREDBID,233226
Haverstraw 1,274,338,2,1,0,2,G20PREDBID,233226
Haverstraw 23,256,336,2,1,0,2,G20PREDBID,233226
Haverstraw 27,31,32,0,0,0,0,G20PREDBID,233226
Haverstraw 11,194,115,2,0,3,2,G20PREDBID,233226
Haverstraw 4,497,241,1,2,2,0,G20PREDBID,233226
Haverstraw 17,308,258,2,1,1,4,G20PREDBID,233226
Haverstraw 15,100,39,0,0,0,0,G20PREDBID,233226
Haverstraw 29,179,241,1,1,0,1,G20PREDBID,233226
Haverstraw 20,400,320,1,2,2,2,G20PREDBID,233226
Haverstraw 14,615,355,5,3,5,3,G20PREDBID,233226
Haverstraw 18,558,147,1,2,1,1,G20PREDBID,233226
Haverstraw 28,172,122,1,0,0,0,G20PREDBID,233226
Haverstraw 3,440,289,3,1,4,1,G20PREDBID,233226
Haverstraw 19,203,203,2,0,0,0,G20PREDBID,233226
Haverstraw 2,461,230,1,0,2,3,G20PREDBID,233226
Haverstraw 16,515,185,1,3,8,0,G20PREDBID,233226
Haverstraw 22,405,455,7,1,0,3,G20PREDBID,233226
Haverstraw 7,354,135,3,0,0,1,G20PREDBID,233226
Haverstraw 26,71,95,0,0,0,1,G20PREDBID,233226
Haverstraw 25,207,247,1,4,6,2,G20PREDBID,233226
Haverstraw 9,509,249,1,2,1,0,G20PREDBID,233226
Haverstraw 21,598,309,3,2,2,0,G20PREDBID,233226
Haverstraw 13,464,147,7,3,0,1,G20PREDBID,233226
Haverstraw 30,363,157,0,0,0,1,G20PREDBID,233226
Clarkstown 68,446,263,3,0,0,4,G20PREDBID,233226
Clarkstown 9,481,354,6,1,0,1,G20PREDBID,233226
Clarkstown 37,389,239,6,0,0,3,G20PREDBID,233226
