PREC_ID,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREOWRI,Winner,Winner Votes
15-03,2710,1815,64,9,9,11,G20PREDBID,383068
01-23,632,2675,37,21,10,12,G20PREDBID,383068
PR32,1724,884,44,9,3,5,G20PREDBID,383068
05-01,1327,2422,38,11,7,18,G20PREDBID,383068
04-08,617,1623,26,4,2,6,G20PREDBID,383068
15-02,2541,2609,74,14,8,31,G20PREDBID,383068
35.3,1550,6620,85,27,10,34,G20PREDBID,383068
08-02,1291,2401,49,7,6,15,G20PREDBID,383068
04-09,891,1404,20,6,2,8,G20PREDBID,383068
31,1098,3768,67,15,2,19,G20PREDBID,383068
33,1795,6554,92,24,12,19,G20PREDBID,383068
05-07,1882,4555,56,11,4,24,G20PREDBID,383068
01-34,67,1139,3,8,3,3,G20PREDBID,383068
01-10,411,983,10,1,1,4,G20PREDBID,383068
15-04,1156,982,26,7,10,2,G20PREDBID,383068
01-16,798,1824,30,10,4,9,G20PREDBID,383068
01-18,781,1573,25,10,4,9,G20PREDBID,383068
01-43,624,1422,22,9,3,8,G20PREDBID,383068
17-13,1562,3081,53,10,4,14,G20PREDBID,383068
01-45,558,946,27,6,2,7,G20PREDBID,383068
01-47,872,1129,25,5,2,8,G20PREDBID,383068
01-51,391,602,14,2,3,3,G20PREDBID,383068
01-26,106,1596,14,5,6,4,G20PREDBID,383068
01-44,900,2222,41,8,8,5,G20PREDBID,383068
01-30,449,773,12,1,4,5,G20PREDBID,383068
01-41,371,1493,33,12,3,9,G20PREDBID,383068
12-02,2039,2317,80,15,4,15,G20PREDBID,383068
04-07,1256,1333,17,4,1,11,G20PREDBID,383068
07-12,725,1739,34,9,0,8,G20PREDBID,383068
04-19,549,1073,27,6,4,7,G20PREDBID,383068
04-04,468,988,24,5,3,2,G20PREDBID,383068
04-21,415,1164,27,6,1,2,G20PREDBID,383068
04-20,864,1901,41,11,4,5,G20PREDBID,383068
04-06,961,1758,26,6,4,12,G20PREDBID,383068
04-10,873,1699,37,0,3,12,G20PREDBID,383068
03-00,2590,3254,80,8,4,17,G20PREDBID,383068
05-08,903,2484,29,8,4,8,G20PREDBID,383068
04-17,481,1164,28,7,5,0,G20PREDBID,383068
05-05,1905,4593,84,20,6,18,G20PREDBID,383068
06-09,3203,3543,91,11,8,26,G20PREDBID,383068
06-10,1797,1743,61,8,5,10,G20PREDBID,383068
20-01,1211,2115,39,9,2,12,G20PREDBID,383068
20-03,1585,2340,49,7,4,13,G20PREDBID,383068
20-04,1122,2169,31,14,5,8,G20PREDBID,383068
12-01,3226,2500,92,16,5,21,G20PREDBID,383068
12-05,3571,3595,87,21,8,32,G20PREDBID,383068
12-07,1487,1197,38,6,4,9,G20PREDBID,383068
