PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PREPHUN,G20PREOWRI,Winner,Winner Votes
4404,8264,907,106,68,32,80,G20PREDBID,382010
4401,8374,1030,155,84,33,84,G20PREDBID,382010
4403,7232,610,53,55,28,62,G20PREDBID,382010
4302,9981,572,103,83,27,70,G20PREDBID,382010
3301,11673,961,154,74,24,77,G20PREDBID,382010
3101,1108,249,23,11,1,12,G20PREDBID,382010
3602,5312,405,49,43,13,38,G20PREDBID,382010
26,790,1323,63,10,7,9,G20PREDBID,382010
21,984,1325,68,10,7,16,G20PREDBID,382010
17,1300,1117,47,17,7,10,G20PREDBID,382010
15,1275,1049,51,17,6,13,G20PREDBID,382010
19,1860,1258,78,14,10,19,G20PREDBID,382010
18,2509,1809,105,16,11,21,G20PREDBID,382010
14,1292,1263,75,7,4,12,G20PREDBID,382010
02,2358,1993,148,28,8,42,G20PREDBID,382010
09,1555,1721,62,8,5,17,G20PREDBID,382010
01,1112,1321,42,6,2,16,G20PREDBID,382010
03,2336,2352,150,10,8,58,G20PREDBID,382010
16,1157,1013,57,11,2,11,G20PREDBID,382010
04,1797,1695,93,17,11,42,G20PREDBID,382010
22,1093,1465,73,15,7,13,G20PREDBID,382010
43,81,73,1,3,1,1,G20PREDBID,382010
39,514,300,14,10,3,6,G20PREDBID,382010
40,501,350,15,5,2,7,G20PREDBID,382010
04,246,380,8,4,3,1,G20PREDBID,382010
35,141,155,6,1,0,1,G20PREDBID,382010
3102,1338,601,36,8,2,8,G20PREDBID,382010
45,164,52,6,2,1,1,G20PREDBID,382010
3103,405,197,12,2,1,8,G20PREDBID,382010
3501,785,194,17,4,3,7,G20PREDBID,382010
3604,130,34,2,1,0,3,G20PREDBID,382010
3603,6867,871,99,62,37,80,G20PREDBID,382010
3304,515,87,6,3,0,8,G20PREDBID,382010
3610,3199,426,40,18,2,32,G20PREDBID,382010
3611,4694,640,69,28,12,46,G20PREDBID,382010
2701,514,107,3,2,1,12,G20PREDBID,382010
2702,680,160,16,3,0,12,G20PREDBID,382010
3802,7706,1241,121,54,13,73,G20PREDBID,382010
3502,4134,719,75,23,5,43,G20PREDBID,382010
53,661,669,44,8,6,7,G20PREDBID,382010
102,309,517,16,3,1,6,G20PREDBID,382010
3303,3118,635,38,15,4,39,G20PREDBID,382010
28,324,770,27,2,2,3,G20PREDBID,382010
106,507,1066,27,1,0,7,G20PREDBID,382010
20,897,1159,40,10,3,10,G20PREDBID,382010
27,239,437,24,4,4,10,G20PREDBID,382010
30,485,611,13,4,3,3,G20PREDBID,382010
07,982,938,53,9,2,15,G20PREDBID,382010
44,240,401,3,4,3,4,G20PREDBID,382010
06,457,728,22,7,4,6,G20PREDBID,382010
50,120,250,14,1,0,2,G20PREDBID,382010
29,161,174,5,5,2,5,G20PREDBID,382010
48,125,251,10,2,0,5,G20PREDBID,382010
39,26,25,3,0,0,0,G20PREDBID,382010
