PREC,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREOWRI,Winner,Winner Votes
3038,1908,1317,125,23,27,G16PRERTRU,94240
3132,1733,1252,128,17,19,G16PRERTRU,94240
3133,1560,828,116,12,33,G16PRERTRU,94240
4119,1330,872,79,13,7,G16PRERTRU,94240
4129,1496,1631,87,22,16,G16PRERTRU,94240
4102,542,928,25,7,7,G16PRERTRU,94240
4044,848,1141,58,9,4,G16PRERTRU,94240
4046,953,982,69,24,19,G16PRERTRU,94240
4084,517,518,34,5,8,G16PRERTRU,94240
4064,383,310,21,10,3,G16PRERTRU,94240
4131,705,532,32,17,14,G16PRERTRU,94240
3144,1623,924,97,15,15,G16PRERTRU,94240
0029,800,1231,80,23,14,G16PRERTRU,94240
4011,611,449,41,5,10,G16PRERTRU,94240
4110,818,822,53,10,5,G16PRERTRU,94240
3041,1009,354,40,9,5,G16PRERTRU,94240
3063,1656,485,69,6,8,G16PRERTRU,94240
4080,346,412,18,7,2,G16PRERTRU,94240
4042,456,170,20,3,8,G16PRERTRU,94240
1087,847,428,30,7,10,G16PRERTRU,94240
0996,245,207,10,5,1,G16PRERTRU,94240
0062,993,1398,80,18,13,G16PRERTRU,94240
0013,1548,983,99,25,28,G16PRERTRU,94240
0046,982,377,64,18,1,G16PRERTRU,94240
0060,1533,1550,128,30,25,G16PRERTRU,94240
4047,262,304,8,3,6,G16PRERTRU,94240
1037,744,698,45,14,5,G16PRERTRU,94240
0417,578,829,45,24,2,G16PRERTRU,94240
0058,550,666,38,7,17,G16PRERTRU,94240
0039,1448,627,77,16,12,G16PRERTRU,94240
0036,1715,928,95,23,30,G16PRERTRU,94240
0044,1488,1963,134,26,31,G16PRERTRU,94240
0655,1292,1221,114,37,18,G16PRERTRU,94240
0349,451,317,27,10,6,G16PRERTRU,94240
0782,748,562,55,11,23,G16PRERTRU,94240
0845,98,59,6,1,0,G16PRERTRU,94240
1103,2163,935,107,17,24,G16PRERTRU,94240
1054,145,104,3,2,0,G16PRERTRU,94240
1012,617,644,40,2,2,G16PRERTRU,94240
3053,0,0,0,0,0,G16PRERTRU,94240
4107,842,521,27,6,6,G16PRERTRU,94240
4140,1085,919,70,16,16,G16PRERTRU,94240
4121,196,255,16,3,5,G16PRERTRU,94240
4029,891,383,60,11,23,G16PRERTRU,94240
4020,1331,587,59,15,33,G16PRERTRU,94240
4105,468,441,20,4,3,G16PRERTRU,94240
4035,497,594,22,10,7,G16PRERTRU,94240
3104,2053,760,82,18,24,G16PRERTRU,94240
1074,906,1172,52,19,12,G16PRERTRU,94240
1001,811,438,40,5,5,G16PRERTRU,94240
3083,847,1635,72,27,18,G16PRERTRU,94240
4111,466,390,30,11,7,G16PRERTRU,94240
1073,505,255,19,1,2,G16PRERTRU,94240
1040,184,804,22,11,4,G16PRERTRU,94240
4124,828,1496,69,24,11,G16PRERTRU,94240
1018,962,208,29,9,5,G16PRERTRU,94240
4125,838,1553,49,17,2,G16PRERTRU,94240
4026,1094,971,58,15,13,G16PRERTRU,94240
4045,520,588,43,10,3,G16PRERTRU,94240
1067,638,1133,48,14,7,G16PRERTRU,94240
1085,979,844,39,14,12,G16PRERTRU,94240
1128,1558,737,57,8,18,G16PRERTRU,94240
4135,1960,3224,113,38,24,G16PRERTRU,94240
1072,50,16,0,0,0,G16PRERTRU,94240
1048,287,611,13,3,0,G16PRERTRU,94240
3095,803,676,51,11,9,G16PRERTRU,94240
1120,1475,652,94,11,11,G16PRERTRU,94240
3005,2903,1357,119,18,24,G16PRERTRU,94240
2016,850,1243,52,25,7,G16PRERTRU,94240
0047,1016,604,59,13,12,G16PRERTRU,94240
0028,2227,1324,130,25,27,G16PRERTRU,94240
3142,1487,1038,107,13,20,G16PRERTRU,94240
3143,2874,2136,191,28,43,G16PRERTRU,94240
1118,1781,1334,90,18,22,G16PRERTRU,94240
1007,2168,1999,129,28,22,G16PRERTRU,94240
1025,1560,1312,94,21,12,G16PRERTRU,94240
1013,862,739,55,10,7,G16PRERTRU,94240
1097,1659,1415,121,11,16,G16PRERTRU,94240
1015,579,196,17,3,1,G16PRERTRU,94240
3057,349,62,14,2,1,G16PRERTRU,94240
1094,1,3,0,0,0,G16PRERTRU,94240
4117,1059,1463,80,16,28,G16PRERTRU,94240
4039,198,358,15,6,3,G16PRERTRU,94240
4079,133,155,7,2,1,G16PRERTRU,94240
1076,1040,2071,89,27,18,G16PRERTRU,94240
1152,547,341,17,4,5,G16PRERTRU,94240
1141,744,369,28,1,1,G16PRERTRU,94240
3146,1946,1601,147,31,38,G16PRERTRU,94240
3149,2459,562,58,14,10,G16PRERTRU,94240
0537,1597,725,35,7,9,G16PRERTRU,94240
0475,373,618,26,5,6,G16PRERTRU,94240
0476,693,702,42,12,2,G16PRERTRU,94240
0545,977,1385,50,22,4,G16PRERTRU,94240
4027,0,0,0,0,0,G16PRERTRU,94240
0762,500,658,31,9,6,G16PRERTRU,94240
3145,843,625,61,10,13,G16PRERTRU,94240
