PREC,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PREOWRI,Winner,Winner Votes
0082,912,1001,21,7,3,G20PREDBID,173090
0145,537,722,18,6,1,G20PREDBID,173090
0113,1068,1151,48,8,11,G20PREDBID,173090
0106,690,687,30,5,5,G20PREDBID,173090
0115,985,1291,16,5,11,G20PREDBID,173090
0067,908,1063,25,6,5,G20PREDBID,173090
0015,524,626,16,2,5,G20PREDBID,173090
0105,442,443,7,2,2,G20PREDBID,173090
0071,684,716,18,1,4,G20PREDBID,173090
0112,1124,1288,21,6,9,G20PREDBID,173090
0053,931,857,29,1,3,G20PREDBID,173090
0021,1512,1726,58,6,7,G20PREDBID,173090
0072,612,572,14,4,0,G20PREDBID,173090
0026,588,769,23,5,3,G20PREDBID,173090
0046,755,1134,19,5,12,G20PREDBID,173090
0068,630,701,23,6,6,G20PREDBID,173090
0103,355,512,9,3,1,G20PREDBID,173090
0117,1477,1599,42,8,14,G20PREDBID,173090
0049,984,792,20,8,10,G20PREDBID,173090
0138,595,409,19,1,6,G20PREDBID,173090
0028,859,1054,35,4,3,G20PREDBID,173090
0075,886,796,10,1,5,G20PREDBID,173090
0032,1029,921,31,5,11,G20PREDBID,173090
0065,443,465,14,1,2,G20PREDBID,173090
0104,430,1172,21,5,3,G20PREDBID,173090
0088,312,1014,17,1,4,G20PREDBID,173090
0064,891,1121,25,8,7,G20PREDBID,173090
0039,892,1219,36,16,7,G20PREDBID,173090
0085,989,1344,30,5,5,G20PREDBID,173090
0062,798,1056,37,3,7,G20PREDBID,173090
0152,27,95,0,0,0,G20PREDBID,173090
0051,361,698,14,2,1,G20PREDBID,173090
0054,824,1452,35,4,5,G20PREDBID,173090
0070,797,694,15,6,4,G20PREDBID,173090
0066,744,842,25,7,9,G20PREDBID,173090
0142,1008,1273,25,4,18,G20PREDBID,173090
0077,1063,1572,27,5,4,G20PREDBID,173090
0080,1293,1340,35,8,10,G20PREDBID,173090
0095,1056,1248,35,6,7,G20PREDBID,173090
0151,540,738,16,4,2,G20PREDBID,173090
0063,870,749,19,5,6,G20PREDBID,173090
0081,932,1167,26,7,10,G20PREDBID,173090
0098,550,391,7,2,3,G20PREDBID,173090
0097,748,324,6,3,4,G20PREDBID,173090
0073,494,862,20,5,5,G20PREDBID,173090
0118,1802,1431,39,14,12,G20PREDBID,173090
0148,0,0,0,0,0,G20PREDBID,173090
0007,539,585,13,2,4,G20PREDBID,173090
0019,696,593,20,4,3,G20PREDBID,173090
0031,903,763,31,3,6,G20PREDBID,173090
0016,1857,1048,54,8,10,G20PREDBID,173090
0005,462,283,8,0,3,G20PREDBID,173090
0050,669,1357,24,14,6,G20PREDBID,173090
0130,1264,1639,33,4,7,G20PREDBID,173090
0147,693,775,24,5,6,G20PREDBID,173090
0124,996,1291,22,11,8,G20PREDBID,173090
0090,1443,1110,18,2,8,G20PREDBID,173090
0127,1331,1393,29,2,5,G20PREDBID,173090
0120,1520,1298,41,10,15,G20PREDBID,173090
0155,1158,985,22,6,6,G20PREDBID,173090
0010,447,96,6,1,2,G20PREDBID,173090
0012,973,627,23,1,6,G20PREDBID,173090
0116,1841,1957,36,4,15,G20PREDBID,173090
0014,937,1411,18,8,4,G20PREDBID,173090
0135,1338,1715,32,10,1,G20PREDBID,173090
0163,1871,2012,40,7,14,G20PREDBID,173090
0171,2140,2167,34,8,14,G20PREDBID,173090
0023,495,1332,18,10,8,G20PREDBID,173090
0101,1414,1420,43,9,9,G20PREDBID,173090
0119,2033,2105,40,10,17,G20PREDBID,173090
0061,700,558,29,5,6,G20PREDBID,173090
0141,1140,1396,32,11,8,G20PREDBID,173090
0060,1398,801,18,6,9,G20PREDBID,173090
0041,2479,1331,42,8,12,G20PREDBID,173090
0086,1093,1113,20,7,9,G20PREDBID,173090
0076,1296,1215,36,8,15,G20PREDBID,173090
0121,749,1417,19,5,10,G20PREDBID,173090
0034,1334,2027,30,18,12,G20PREDBID,173090
0157,1383,1657,28,8,21,G20PREDBID,173090
0047,888,978,27,7,10,G20PREDBID,173090
0058,1170,1484,25,9,9,G20PREDBID,173090
0091,804,953,31,7,8,G20PREDBID,173090
0158,843,1272,16,3,6,G20PREDBID,173090
0002,1363,1432,54,11,9,G20PREDBID,173090
0069,1458,1528,19,11,12,G20PREDBID,173090
0107,1141,1465,23,9,11,G20PREDBID,173090
0108,921,1325,18,7,9,G20PREDBID,173090
0001,968,934,26,9,14,G20PREDBID,173090
0044,482,494,14,6,3,G20PREDBID,173090
0003,378,985,25,8,8,G20PREDBID,173090
0137,808,707,8,6,5,G20PREDBID,173090
0139,1246,1851,25,11,15,G20PREDBID,173090
0122,2496,1432,50,6,21,G20PREDBID,173090
0140,2242,1314,55,9,15,G20PREDBID,173090
0173,299,173,8,1,1,G20PREDBID,173090
0052,957,1950,46,12,6,G20PREDBID,173090
0025,1950,2225,50,13,12,G20PREDBID,173090
0198,84,13,0,0,0,G20PREDBID,173090
0197,374,583,10,2,3,G20PREDBID,173090
0206,745,533,16,3,5,G20PREDBID,173090
0209,368,328,9,2,2,G20PREDBID,173090
0203,1458,929,20,6,15,G20PREDBID,173090
0205,11,10,0,0,0,G20PREDBID,173090
0210,545,776,7,1,2,G20PREDBID,173090
0213,1204,1412,29,8,4,G20PREDBID,173090
0218,1406,1629,32,6,9,G20PREDBID,173090
0219,1260,1348,31,7,4,G20PREDBID,173090
0223,786,747,12,7,7,G20PREDBID,173090
0225,1169,1614,14,12,7,G20PREDBID,173090
0226,1542,1659,45,11,15,G20PREDBID,173090
0221,2232,1405,45,8,10,G20PREDBID,173090
0227,1564,1583,65,10,12,G20PREDBID,173090
0128,2799,1164,56,8,19,G20PREDBID,173090
0006,477,640,13,3,3,G20PREDBID,173090
0059,1578,1274,52,19,10,G20PREDBID,173090
0040,1614,1057,45,7,12,G20PREDBID,173090
0168,937,521,38,4,3,G20PREDBID,173090
0179,2664,1157,35,8,13,G20PREDBID,173090
0045,1368,926,19,4,2,G20PREDBID,173090
0004,1242,604,20,4,6,G20PREDBID,173090
0100,7,5,0,0,0,G20PREDBID,173090
0228,1492,1492,51,10,12,G20PREDBID,173090
0114,822,347,13,4,2,G20PREDBID,173090
0009,1410,1064,42,7,10,G20PREDBID,173090
0008,1358,509,26,5,3,G20PREDBID,173090
0191,252,60,5,1,0,G20PREDBID,173090
0215,968,386,16,3,4,G20PREDBID,173090
0222,1196,1329,21,7,12,G20PREDBID,173090
0099,62,114,4,0,1,G20PREDBID,173090
0043,1033,1270,50,14,2,G20PREDBID,173090
0057,1832,1585,65,10,11,G20PREDBID,173090
0096,377,405,14,3,2,G20PREDBID,173090
0207,1765,1239,51,0,9,G20PREDBID,173090
0216,3299,1595,72,12,15,G20PREDBID,173090
0146,1665,1850,41,7,9,G20PREDBID,173090
0087,2047,2505,28,10,8,G20PREDBID,173090
0235,576,836,20,3,4,G20PREDBID,173090
0167,1470,2261,36,5,7,G20PREDBID,173090
0089,1151,1363,22,1,4,G20PREDBID,173090
0176,989,1534,56,4,11,G20PREDBID,173090
0236,1330,869,31,2,9,G20PREDBID,173090
0102,1251,775,28,3,6,G20PREDBID,173090
0204,169,126,1,1,1,G20PREDBID,173090
0131,1367,866,31,4,11,G20PREDBID,173090
0129,1627,1466,33,7,13,G20PREDBID,173090
0156,1386,1207,52,2,8,G20PREDBID,173090
0149,1802,1455,43,5,10,G20PREDBID,173090
0238,1114,1459,32,5,6,G20PREDBID,173090
0126,1687,1712,52,4,14,G20PREDBID,173090
0169,1125,1267,35,4,7,G20PREDBID,173090
0038,1991,2165,57,6,10,G20PREDBID,173090
0211,1279,1111,39,4,10,G20PREDBID,173090
0212,1539,2104,27,3,11,G20PREDBID,173090
0230,1226,1772,54,6,3,G20PREDBID,173090
0234,705,900,17,3,2,G20PREDBID,173090
0239,2098,996,51,5,8,G20PREDBID,173090
0134,1998,2354,39,16,16,G20PREDBID,173090
0220,1398,1749,25,6,11,G20PREDBID,173090
