resultspre,G20PRERTRU,G20PREDBID,G20PRELJOR,G20PREGHAW,G20PRECBLA,G20PREIPIE,G20PREIWES,G20PREIMCH,G20PREILAR,G20PREOWRI,Winner,Winner Votes
BEAVER 1,682,59,2,0,0,0,1,0,1,0,G20PRERTRU,218423
BEAVER 2,463,57,5,2,1,0,3,0,1,0,G20PRERTRU,218423
BEAVER 3,413,34,2,1,0,0,0,1,1,0,G20PRERTRU,218423
BEAVER 4,156,20,1,0,0,0,0,0,0,0,G20PRERTRU,218423
GREENVILLE 1,90,9,1,0,0,0,0,2,0,0,G20PRERTRU,218423
MILFORD 1,60,23,1,1,0,1,0,0,0,0,G20PRERTRU,218423
MILFORD 2,331,119,4,2,2,0,0,0,1,0,G20PRERTRU,218423
MILFORD 3,99,22,1,0,0,0,0,0,0,0,G20PRERTRU,218423
MINERSVILLE 1,401,14,6,0,1,0,3,0,0,0,G20PRERTRU,218423
Grouse Creek,32,0,0,0,1,0,0,0,0,1,G20PRERTRU,218423
Bountiful 01:I-S-,433,341,28,0,3,2,4,2,0,19,G20PRERTRU,218423
Bountiful 02:I-S-,398,314,18,4,4,0,3,1,0,10,G20PRERTRU,218423
Bountiful 03:I-S-,327,249,21,2,3,2,1,1,0,29,G20PRERTRU,218423
,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Bountiful 04:I---,0,1,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Bountiful 04:I-S-,413,259,26,2,4,2,6,0,1,21,G20PRERTRU,218423
Bountiful 04:U---,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Bountiful 05:I-S-,337,213,15,5,7,1,2,4,0,19,G20PRERTRU,218423
Bountiful 06:I-S-,513,421,31,5,5,0,0,2,3,12,G20PRERTRU,218423
Bountiful 07:I-S-,380,404,28,6,6,0,7,3,1,15,G20PRERTRU,218423
Bountiful 08:I-S-,397,347,35,5,6,1,9,2,0,16,G20PRERTRU,218423
Bountiful 09:I-S-,530,294,24,6,2,1,3,0,0,32,G20PRERTRU,218423
Bountiful 10:I-S-,515,295,22,2,5,1,6,0,0,26,G20PRERTRU,218423
Bountiful 10:U-S-,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Bountiful 11:I-S-,506,296,15,1,3,1,6,2,0,26,G20PRERTRU,218423
Bountiful 12:I-S-,487,346,30,2,5,1,7,0,0,27,G20PRERTRU,218423
Bountiful 13:I-S-,354,274,13,3,4,0,3,0,0,15,G20PRERTRU,218423
Bountiful 14:I-S-,224,204,12,2,0,0,2,1,0,11,G20PRERTRU,218423
Bountiful 15:I-S-,271,210,20,3,4,2,3,0,0,14,G20PRERTRU,218423
Bountiful 16:I-S-,451,319,20,1,2,1,7,0,0,39,G20PRERTRU,218423
Bountiful 17:I---,0,0,0,0,0,0,0,0,0,0,G20PRERTRU,218423
Bountiful 17:I-S-,528,276,27,1,7,0,2,0,0,21,G20PRERTRU,218423
