PRECINCT,G16PREDCLI,G16PRERTRU,G16PRELJOH,G16PREIMCM,G16PREGSTE,G16PREOWRI,Winner,Winner Votes
Madison,1344,629,52,35,18,45,G16PREDCLI,296146
Russell,504,1129,43,23,10,15,G16PREDCLI,296146
Berryville,681,708,61,30,15,9,G16PREDCLI,296146
White Post,602,914,48,9,8,19,G16PREDCLI,296146
Blue Ridge,171,259,12,13,2,8,G16PREDCLI,296146
Fairview,2358,1205,115,69,40,62,G16PREDCLI,296146
Salona #1,415,249,21,6,4,12,G16PREDCLI,296146
Sideburn,1376,1000,75,54,21,55,G16PREDCLI,296146
Villa,1055,556,40,46,19,16,G16PREDCLI,296146
Terra Centre,1231,655,68,49,13,30,G16PREDCLI,296146
Great Falls,871,691,44,11,7,42,G16PREDCLI,296146
Eagle View,1636,834,90,54,26,28,G16PREDCLI,296146
Armstrong,1890,811,85,61,20,48,G16PREDCLI,296146
Flint Hill,1372,823,72,59,12,50,G16PREDCLI,296146
Reston #2,1930,459,75,47,35,26,G16PREDCLI,296146
Stuart,725,323,37,23,9,20,G16PREDCLI,296146
Floris,1880,1016,65,36,26,29,G16PREDCLI,296146
Dogwood,2437,700,93,63,34,35,G16PREDCLI,296146
Hunters Woods,1430,607,54,28,8,34,G16PREDCLI,296146
Fox Mill,2406,1323,119,72,24,54,G16PREDCLI,296146
North Point,1587,886,68,35,20,55,G16PREDCLI,296146
Colvin,1174,766,54,37,5,37,G16PREDCLI,296146
Chain Bridge,1310,823,53,39,17,52,G16PREDCLI,296146
Churchill,740,346,28,20,5,37,G16PREDCLI,296146
Langley,854,537,25,29,6,41,G16PREDCLI,296146
Chesterbrook,1181,584,50,48,5,37,G16PREDCLI,296146
Cooper,888,552,30,27,7,40,G16PREDCLI,296146
Kirby,971,397,35,54,13,32,G16PREDCLI,296146
Kenmore,1555,870,79,47,19,48,G16PREDCLI,296146
McLean,1011,580,44,42,19,29,G16PREDCLI,296146
Westmoreland,669,328,35,27,11,14,G16PREDCLI,296146
Herndon #1,2102,953,104,83,23,53,G16PREDCLI,296146
Clearview,2084,1150,121,117,25,52,G16PREDCLI,296146
Hutchison,1450,351,44,16,20,18,G16PREDCLI,296146
Sugarland,1842,1032,99,57,19,48,G16PREDCLI,296146
Hickory,1375,993,68,46,15,53,G16PREDCLI,296146
Seneca,1498,1141,66,32,15,48,G16PREDCLI,296146
Coates,2083,590,68,40,34,34,G16PREDCLI,296146
Salona #2,728,377,34,34,7,24,G16PREDCLI,296146
Herndon #2,2424,825,111,60,23,33,G16PREDCLI,296146
Forestville,1210,1141,65,43,20,70,G16PREDCLI,296146
Shouse,1123,591,53,22,9,34,G16PREDCLI,296146
Spring Hill,941,534,57,47,5,33,G16PREDCLI,296146
Newington,2703,1195,116,101,36,59,G16PREDCLI,296146
South County,1378,894,55,30,16,33,G16PREDCLI,296146
Clifton,1505,1787,104,63,15,59,G16PREDCLI,296146
Colchester,842,675,38,24,9,25,G16PREDCLI,296146
Penderbrook,1903,863,95,57,34,33,G16PREDCLI,296146
Oakton,1116,721,49,55,18,44,G16PREDCLI,296146
Oak Marr,1569,995,83,65,23,53,G16PREDCLI,296146
Fairfax Station,704,555,32,29,9,21,G16PREDCLI,296146
Sydenstricker,1539,900,86,70,16,39,G16PREDCLI,296146
Woodyard,1130,1071,62,38,7,63,G16PREDCLI,296146
Orange,1842,1147,111,86,26,49,G16PREDCLI,296146
Cherry Run,1333,851,61,49,8,44,G16PREDCLI,296146
Sangster,1024,677,49,36,9,34,G16PREDCLI,296146
Silverbrook,1567,1140,91,52,15,50,G16PREDCLI,296146
Popes Head,646,607,38,36,7,28,G16PREDCLI,296146
Fair Lakes,1697,751,98,45,25,20,G16PREDCLI,296146
Fountainhead,1581,1458,95,39,10,55,G16PREDCLI,296146
Greenbriar East,1808,803,99,57,22,31,G16PREDCLI,296146
Greenbriar West,1216,684,67,34,17,29,G16PREDCLI,296146
South Run,1285,986,57,48,7,42,G16PREDCLI,296146
Willow Springs,1173,822,54,30,15,33,G16PREDCLI,296146
Centre Ridge,1788,703,87,37,34,19,G16PREDCLI,296146
Brookfield,2416,918,91,53,32,25,G16PREDCLI,296146
Cub Run,1842,1116,123,84,26,42,G16PREDCLI,296146
Stonecroft,736,561,67,39,6,13,G16PREDCLI,296146
Franklin,544,248,36,22,4,15,G16PREDCLI,296146
Hidden Meadow,1141,728,64,44,14,28,G16PREDCLI,296146
Oak Hill,1250,602,58,29,12,20,G16PREDCLI,296146
London Towne,2131,766,92,65,28,33,G16PREDCLI,296146
Navy,1741,908,66,46,20,38,G16PREDCLI,296146
Rocky Run,2003,1313,112,54,33,62,G16PREDCLI,296146
Vale,1064,688,66,38,12,48,G16PREDCLI,296146
Waples Mill,1970,1334,112,63,22,55,G16PREDCLI,296146
Stone North,1055,490,74,24,6,28,G16PREDCLI,296146
Centreville,2361,973,130,74,35,43,G16PREDCLI,296146
Green Trails,2120,989,95,71,34,39,G16PREDCLI,296146
Deer Park,1464,1105,112,62,29,32,G16PREDCLI,296146
Spindle,1148,401,59,35,18,19,G16PREDCLI,296146
Old Mill,1005,559,69,25,15,13,G16PREDCLI,296146
Poplar Tree,1438,830,74,30,14,41,G16PREDCLI,296146
Lees Corner,1139,602,74,54,25,26,G16PREDCLI,296146
Carson,1243,560,66,43,22,24,G16PREDCLI,296146
Stone South,1017,376,46,30,16,16,G16PREDCLI,296146
Compton,391,200,16,16,8,6,G16PREDCLI,296146
Difficult Run,293,254,20,8,4,20,G16PREDCLI,296146
Chantilly,1575,786,61,32,11,40,G16PREDCLI,296146
Armfield,1094,535,52,23,9,22,G16PREDCLI,296146
LEEDS,827,1005,47,21,10,21,G16PREDCLI,296146
THE PLAINS,860,904,42,31,12,9,G16PREDCLI,296146
BROAD RUN,591,1039,47,26,11,23,G16PREDCLI,296146
VINT HILL,1042,1902,105,59,21,33,G16PREDCLI,296146
RUSSELLS,350,1203,50,11,7,6,G16PREDCLI,296146
GORE,382,1463,49,12,22,16,G16PREDCLI,296146
KERNSTOWN,625,1324,65,27,21,14,G16PREDCLI,296146
CEDAR CREEK,361,862,41,13,21,8,G16PREDCLI,296146
GAINESBOROUGH,195,926,23,16,4,7,G16PREDCLI,296146
ALBIN,448,1195,33,30,6,13,G16PREDCLI,296146
REDLAND,589,1614,62,30,14,19,G16PREDCLI,296146
NAIN,475,1247,39,32,10,11,G16PREDCLI,296146
CLEAR BROOK,267,867,41,12,3,7,G16PREDCLI,296146
WHITE HALL,711,1735,62,23,13,28,G16PREDCLI,296146
PARKIN'S MILL,591,1159,71,45,19,14,G16PREDCLI,296146
NEFF'S TOWN,888,1415,91,31,28,21,G16PREDCLI,296146
CARPERS VALLEY,667,1238,52,34,18,11,G16PREDCLI,296146
SHENANDOAH,311,692,45,13,11,3,G16PREDCLI,296146
CANTERBURG,698,1436,61,19,18,10,G16PREDCLI,296146
MILLBROOK,505,873,52,12,6,15,G16PREDCLI,296146
ASH HOLLOW,736,1080,73,39,24,14,G16PREDCLI,296146
GREENWOOD,1035,1774,96,44,30,23,G16PREDCLI,296146
STEPHENS CITY,680,1297,93,32,17,10,G16PREDCLI,296146
ARMEL,610,1135,72,33,14,16,G16PREDCLI,296146
LITTLE RIVER,1147,848,80,36,19,33,G16PREDCLI,296146
MERCER,1204,835,52,36,9,17,G16PREDCLI,296146
FREEDOM,946,496,25,25,3,11,G16PREDCLI,296146
MOOREFIELD,1289,631,53,43,6,16,G16PREDCLI,296146
HUTCHISON FARM,1410,837,63,51,12,28,G16PREDCLI,296146
CARDINAL RIDGE,735,512,47,30,9,15,G16PREDCLI,296146
LIBERTY,872,515,38,24,10,10,G16PREDCLI,296146
LUNSFORD,1284,779,58,24,12,19,G16PREDCLI,296146
TOWN HALL,783,537,50,38,10,12,G16PREDCLI,296146
RIVER BEND,738,551,49,30,13,12,G16PREDCLI,296146
ALGONKIAN,842,594,52,46,18,20,G16PREDCLI,296146
POTOMAC FALLS,1262,723,68,42,19,26,G16PREDCLI,296146
SUGARLAND NORTH,1424,923,92,66,14,33,G16PREDCLI,296146
SUGARLAND SOUTH,1490,779,92,42,18,23,G16PREDCLI,296146
LOWES ISLAND,1046,795,47,26,15,34,G16PREDCLI,296146
SOUTH BANK,1370,838,58,44,15,25,G16PREDCLI,296146
UNIVERSITY CENTER,1027,470,67,26,22,5,G16PREDCLI,296146
ST LOUIS,584,453,35,12,5,14,G16PREDCLI,296146
COUNTRYSIDE,529,318,40,19,8,9,G16PREDCLI,296146
GALILEE CHURCH,1078,646,92,43,18,20,G16PREDCLI,296146
PURCELLVILLE,1147,1225,102,72,12,40,G16PREDCLI,296146
HILLSBORO,783,1105,47,31,12,30,G16PREDCLI,296146
ROUND HILL,885,1179,86,44,12,23,G16PREDCLI,296146
PHILOMONT,424,516,33,13,8,16,G16PREDCLI,296146
MIDDLEBURG,610,399,21,11,8,9,G16PREDCLI,296146
ALDIE,373,408,23,10,8,9,G16PREDCLI,296146
MOUNTAIN VIEW,991,1290,109,88,21,28,G16PREDCLI,296146
ROUND HILL ELEMENTARY,810,1164,69,50,16,42,G16PREDCLI,296146
BRIAR WOODS,1371,750,70,22,15,19,G16PREDCLI,296146
FIREHOUSE,280,422,18,8,1,9,G16PREDCLI,296146
MADISON'S TRUST,756,1004,68,42,10,23,G16PREDCLI,296146
WEST LOVETTSVILLE,1048,1450,108,50,13,19,G16PREDCLI,296146
WATERFORD,900,1115,82,26,16,26,G16PREDCLI,296146
LUCKETTS,1144,1292,76,34,20,15,G16PREDCLI,296146
HARPER PARK,764,573,39,25,3,15,G16PREDCLI,296146
