PRECINCT,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREOWRI,Winner,Winner Votes
Chapel,1428,711,32,21,G20PREDBID,399715
Fairview,3066,1257,55,25,G20PREDBID,399715
Heritage,3258,1019,37,18,G20PREDBID,399715
Kings Park,1834,799,46,21,G20PREDBID,399715
North Springfield,2936,1403,37,40,G20PREDBID,399715
Canterbury,2312,1105,44,49,G20PREDBID,399715
Ravensworth,1580,777,26,21,G20PREDBID,399715
Wakefield,1593,642,28,21,G20PREDBID,399715
Laurel,2650,1196,57,23,G20PREDBID,399715
Little Run,1045,379,9,12,G20PREDBID,399715
Olde Creek,1521,628,26,16,G20PREDBID,399715
Sideburn,1759,1057,46,32,G20PREDBID,399715
Cardinal,1910,693,32,25,G20PREDBID,399715
Keene Mill,1393,568,22,21,G20PREDBID,399715
Monument,1411,586,37,12,G20PREDBID,399715
University,1228,106,26,18,G20PREDBID,399715
Woodson,1397,783,30,40,G20PREDBID,399715
Lake Braddock,2941,1011,57,14,G20PREDBID,399715
Villa,1665,762,30,18,G20PREDBID,399715
Robinson,2079,1059,51,18,G20PREDBID,399715
Signal Hill,1901,817,39,21,G20PREDBID,399715
Bonnie Brae,1955,654,26,12,G20PREDBID,399715
Burke Centre,3311,1073,55,36,G20PREDBID,399715
Terra Centre,1865,735,41,23,G20PREDBID,399715
Danbury,870,226,26,14,G20PREDBID,399715
Eagle View,1808,890,61,9,G20PREDBID,399715
Armstrong,2151,729,51,14,G20PREDBID,399715
Flint Hill,1334,797,39,14,G20PREDBID,399715
Reston #1,2491,717,48,16,G20PREDBID,399715
Reston #2,2776,552,46,25,G20PREDBID,399715
Vienna #1,1995,954,64,32,G20PREDBID,399715
Stuart,1169,348,39,7,G20PREDBID,399715
Floris,2075,927,37,2,G20PREDBID,399715
Vienna #2,1388,729,39,43,G20PREDBID,399715
Cameron Glen,1040,550,32,16,G20PREDBID,399715
Madison,674,216,9,0,G20PREDBID,399715
Vienna #6,1036,451,28,9,G20PREDBID,399715
McNair,2379,638,26,21,G20PREDBID,399715
Vienna #4,919,391,13,12,G20PREDBID,399715
Glade,2048,644,61,36,G20PREDBID,399715
Westbriar,1776,787,44,25,G20PREDBID,399715
Dogwood,3115,856,51,32,G20PREDBID,399715
South Lakes,2526,904,64,23,G20PREDBID,399715
Hunters Woods,1508,576,24,16,G20PREDBID,399715
Wolftrap,1847,926,35,43,G20PREDBID,399715
Fox Mill,2827,1382,71,32,G20PREDBID,399715
Reston #3,1589,332,39,9,G20PREDBID,399715
North Point,1660,916,37,14,G20PREDBID,399715
Hughes,2619,662,81,9,G20PREDBID,399715
Sunrise Valley,1067,434,22,9,G20PREDBID,399715
Aldrin,1535,560,28,18,G20PREDBID,399715
Frying Pan,1816,599,24,16,G20PREDBID,399715
Colvin,1183,633,26,20,G20PREDBID,399715
Kenmore,1474,745,24,15,G20PREDBID,399715
McLean,710,411,22,12,G20PREDBID,399715
Herndon #1,2414,974,66,14,G20PREDBID,399715
Clearview,2531,1136,73,36,G20PREDBID,399715
Herndon #3,2330,781,43,28,G20PREDBID,399715
Hutchison,2374,411,32,7,G20PREDBID,399715
Sugarland,1995,993,48,25,G20PREDBID,399715
Hickory,1220,839,33,27,G20PREDBID,399715
Seneca,2067,1157,33,22,G20PREDBID,399715
Coates,3097,882,64,32,G20PREDBID,399715
Lynbrook,2191,582,24,5,G20PREDBID,399715
Herndon #2,2597,884,41,35,G20PREDBID,399715
Forestville,1612,1258,50,22,G20PREDBID,399715
Shouse,1531,665,13,20,G20PREDBID,399715
Spring Hill,1000,458,18,10,G20PREDBID,399715
Garfield,3133,995,35,35,G20PREDBID,399715
Crestwood,2377,1045,31,14,G20PREDBID,399715
Gunston,1561,1142,46,16,G20PREDBID,399715
Newington,3931,1528,107,21,G20PREDBID,399715
