PRECCODE,G20PREDBID,G20PRERTRU,G20PRELJOR,G20PREGHAW,G20PRESLAR,G20PRESKEN,G20PREOWRI,Winner,Winner Votes
406,328,428,14,6,2,4,8,G20PREDBID,305468
330,546,444,23,3,1,0,5,G20PREDBID,305468
10154387,252,154,10,0,0,0,6,G20PREDBID,305468
10154310,330,364,22,2,1,0,9,G20PREDBID,305468
10154178,356,326,17,4,0,0,8,G20PREDBID,305468
10154375,238,107,6,3,0,0,3,G20PREDBID,305468
10154062,348,323,17,1,0,0,4,G20PREDBID,305468
401,417,457,29,4,3,0,4,G20PREDBID,305468
10154329,426,349,30,6,1,0,14,G20PREDBID,305468
10154032,219,186,5,3,0,0,5,G20PREDBID,305468
101,162,328,14,2,3,2,2,G20PREDBID,305468
116,291,476,20,1,0,0,8,G20PREDBID,305468
114,109,51,4,3,1,0,2,G20PREDBID,305468
115,99,107,2,1,1,1,1,G20PREDBID,305468
126,334,506,22,5,2,0,6,G20PREDBID,305468
128,144,112,6,0,0,0,1,G20PREDBID,305468
166,243,343,5,3,0,0,3,G20PREDBID,305468
154,160,241,11,1,2,0,4,G20PREDBID,305468
155,201,441,11,1,1,0,7,G20PREDBID,305468
604,420,995,29,4,1,0,15,G20PREDBID,305468
304,181,135,10,1,1,1,3,G20PREDBID,305468
271,101,55,3,0,0,0,1,G20PREDBID,305468
505,450,243,25,6,1,1,8,G20PREDBID,305468
702,4,7,0,0,0,0,0,G20PREDBID,305468
301,486,447,30,5,0,2,9,G20PREDBID,305468
302,726,500,31,5,0,2,15,G20PREDBID,305468
272,0,2,1,0,0,0,0,G20PREDBID,305468
273,50,21,0,0,0,0,1,G20PREDBID,305468
401,225,292,14,1,0,0,4,G20PREDBID,305468
605,327,758,26,0,3,0,6,G20PREDBID,305468
508,495,541,26,1,1,0,7,G20PREDBID,305468
701,295,511,22,3,0,0,5,G20PREDBID,305468
602,236,548,16,3,0,0,5,G20PREDBID,305468
603,243,508,23,1,0,0,6,G20PREDBID,305468
509,387,370,14,5,1,0,5,G20PREDBID,305468
601,188,279,4,0,0,2,3,G20PREDBID,305468
606,263,537,16,0,0,1,7,G20PREDBID,305468
211,807,354,29,3,4,1,10,G20PREDBID,305468
205,401,162,14,2,2,0,5,G20PREDBID,305468
209,637,149,16,3,1,0,10,G20PREDBID,305468
270,0,0,0,0,0,0,0,G20PREDBID,305468
221,532,241,20,0,0,0,3,G20PREDBID,305468
402,320,484,14,2,1,0,9,G20PREDBID,305468
503,440,408,15,1,0,0,6,G20PREDBID,305468
504,580,434,25,1,0,0,13,G20PREDBID,305468
501,599,496,18,3,0,0,11,G20PREDBID,305468
502,428,348,9,6,0,0,4,G20PREDBID,305468
507,477,384,24,1,1,2,4,G20PREDBID,305468
238,398,166,8,4,0,1,4,G20PREDBID,305468
269,104,42,6,0,0,0,0,G20PREDBID,305468
607,160,504,13,4,0,0,9,G20PREDBID,305468
303,586,429,9,3,0,0,4,G20PREDBID,305468
610,253,608,22,4,1,0,5,G20PREDBID,305468
611,167,482,10,3,0,0,5,G20PREDBID,305468
608,273,474,10,0,1,0,10,G20PREDBID,305468
609,243,654,16,2,0,0,15,G20PREDBID,305468
801,273,476,24,3,0,1,8,G20PREDBID,305468
506,547,351,34,2,2,4,12,G20PREDBID,305468
162,454,230,21,1,0,0,9,G20PREDBID,305468
143,443,161,13,4,0,1,7,G20PREDBID,305468
126,582,589,19,4,2,0,7,G20PREDBID,305468
166,504,358,24,5,1,1,8,G20PREDBID,305468
167,55,72,0,3,0,0,0,G20PREDBID,305468
163,519,211,18,6,1,0,4,G20PREDBID,305468
164,145,106,8,0,0,0,1,G20PREDBID,305468
120,276,530,24,3,0,0,7,G20PREDBID,305468
135,454,230,9,3,1,0,12,G20PREDBID,305468
152,369,446,12,3,0,0,3,G20PREDBID,305468
123,200,296,6,1,0,0,3,G20PREDBID,305468
124,149,290,5,2,0,0,1,G20PREDBID,305468
121,232,337,13,3,0,0,3,G20PREDBID,305468
127,515,570,28,3,0,0,9,G20PREDBID,305468
179,79,112,5,1,0,0,1,G20PREDBID,305468
159,86,30,2,2,0,0,0,G20PREDBID,305468
144,150,650,16,1,0,0,10,G20PREDBID,305468
183,15,17,1,0,0,0,1,G20PREDBID,305468
201,917,367,21,10,1,1,4,G20PREDBID,305468
182,740,578,36,2,3,1,7,G20PREDBID,305468
204,497,175,12,3,2,1,4,G20PREDBID,305468
138,625,158,10,8,2,0,3,G20PREDBID,305468
151,406,471,18,4,0,1,4,G20PREDBID,305468
141,246,644,9,3,0,0,5,G20PREDBID,305468
142,401,473,28,5,0,0,1,G20PREDBID,305468
139,44,317,3,0,0,0,2,G20PREDBID,305468
140,218,824,20,6,0,0,4,G20PREDBID,305468
145,342,593,14,3,0,0,4,G20PREDBID,305468
160,622,244,16,5,1,0,2,G20PREDBID,305468
217,384,226,9,1,0,0,1,G20PREDBID,305468
220,706,275,13,5,2,3,5,G20PREDBID,305468
154,241,264,10,1,1,0,6,G20PREDBID,305468
168,525,377,17,2,0,0,8,G20PREDBID,305468
203,721,328,13,3,1,1,12,G20PREDBID,305468
157,131,144,6,1,1,0,1,G20PREDBID,305468
158,191,182,7,2,0,0,3,G20PREDBID,305468
155,234,338,12,0,0,0,1,G20PREDBID,305468
156,178,169,9,5,0,0,5,G20PREDBID,305468
237,637,225,15,1,0,0,4,G20PREDBID,305468
1233,279,110,7,1,0,0,5,G20PREDBID,305468
1234,283,99,6,1,0,1,3,G20PREDBID,305468
1122,275,199,17,5,1,0,9,G20PREDBID,305468
1156,144,149,6,1,0,0,2,G20PREDBID,305468
1143,338,82,4,1,0,0,5,G20PREDBID,305468
1121,144,86,6,0,0,0,1,G20PREDBID,305468
1205,335,167,12,2,0,0,6,G20PREDBID,305468
1019,474,235,14,5,0,0,4,G20PREDBID,305468
1022,472,238,24,4,0,0,5,G20PREDBID,305468
1207,387,124,11,1,2,0,7,G20PREDBID,305468
1040,533,186,7,2,1,0,3,G20PREDBID,305468
1091,55,37,2,1,0,0,0,G20PREDBID,305468
935,421,95,9,4,1,0,5,G20PREDBID,305468
1097,216,124,9,4,1,0,4,G20PREDBID,305468
939,311,101,9,3,0,1,6,G20PREDBID,305468
936,300,100,10,1,1,1,8,G20PREDBID,305468
937,147,48,2,1,0,0,1,G20PREDBID,305468
940,237,114,8,3,0,0,5,G20PREDBID,305468
1095,550,225,18,1,0,0,10,G20PREDBID,305468
925,213,75,11,3,0,0,3,G20PREDBID,305468
952,185,76,9,1,0,0,2,G20PREDBID,305468
953,511,159,12,4,0,0,6,G20PREDBID,305468
926,374,157,9,3,1,0,5,G20PREDBID,305468
951,253,75,1,2,0,0,1,G20PREDBID,305468
942,283,77,7,0,0,0,2,G20PREDBID,305468
944,261,77,8,0,0,0,3,G20PREDBID,305468
941,235,61,1,0,0,0,2,G20PREDBID,305468
949,301,97,4,0,0,0,0,G20PREDBID,305468
945,263,127,7,0,0,0,8,G20PREDBID,305468
1147,353,90,16,4,3,0,1,G20PREDBID,305468
1191,235,135,19,0,0,0,4,G20PREDBID,305468
1171,462,135,9,1,1,0,4,G20PREDBID,305468
1181,223,54,2,0,2,0,3,G20PREDBID,305468
1224,504,196,11,4,1,0,4,G20PREDBID,305468
1225,364,118,10,0,1,1,7,G20PREDBID,305468
1179,404,156,10,0,1,0,8,G20PREDBID,305468
810,280,112,9,5,0,0,6,G20PREDBID,305468
807,448,154,21,2,0,0,8,G20PREDBID,305468
820,261,118,8,0,0,0,2,G20PREDBID,305468
825,152,107,5,2,0,0,3,G20PREDBID,305468
1070,281,128,12,1,0,0,5,G20PREDBID,305468
1099,408,325,12,3,0,1,11,G20PREDBID,305468
938,205,47,3,6,1,0,0,G20PREDBID,305468
1085,6,0,0,0,0,1,0,G20PREDBID,305468
1096,401,272,21,2,0,1,5,G20PREDBID,305468
708,191,94,5,2,1,0,7,G20PREDBID,305468
751,313,149,8,1,0,0,4,G20PREDBID,305468
947,252,74,8,1,0,0,5,G20PREDBID,305468
950,301,118,13,4,0,0,8,G20PREDBID,305468
948,144,62,5,5,0,0,2,G20PREDBID,305468
869,366,225,20,1,0,0,6,G20PREDBID,305468
870,402,143,14,3,2,0,3,G20PREDBID,305468
868,474,146,21,1,1,0,12,G20PREDBID,305468
834,340,207,16,0,0,0,3,G20PREDBID,305468
858,270,174,10,2,2,0,5,G20PREDBID,305468
859,557,285,20,5,0,1,6,G20PREDBID,305468
901,329,171,11,1,1,0,7,G20PREDBID,305468
124,146,133,2,3,0,0,1,G20PREDBID,305468
126,102,50,2,1,3,0,1,G20PREDBID,305468
118,149,168,4,1,0,0,1,G20PREDBID,305468
165,206,213,7,1,0,0,1,G20PREDBID,305468
134,552,329,12,9,2,1,5,G20PREDBID,305468
116,123,113,3,2,0,0,2,G20PREDBID,305468
2677,228,92,6,0,1,0,1,G20PREDBID,305468
2678,459,139,22,3,1,1,5,G20PREDBID,305468
2676,271,125,14,2,1,1,1,G20PREDBID,305468
2659,100,43,0,0,1,0,0,G20PREDBID,305468
