"year","state","state_po","state_fips","state_cen","state_ic","office","district","stage","runoff","special","candidate","party","writein","mode","candidatevotes","totalvotes","unofficial","version","fusion_ticket"
2012,"ALABAMA","AL",1,63,41,"US HOUSE",1,"GEN",NA,FALSE,"JO BONNER","R",FALSE,"TOTAL",196374,200676,FALSE,20230706,FALSE
2012,"ALABAMA","AL",1,63,41,"US HOUSE",2,"GEN",NA,FALSE,"MARTHA ROBY","R",FALSE,"TOTAL",180591,283953,FALSE,20230706,FALSE
2012,"ALABAMA","AL",1,63,41,"US HOUSE",3,"GEN",NA,FALSE,"MIKE ROGERS","R",FALSE,"TOTAL",175306,273930,FALSE,20230706,FALSE
2012,"ALABAMA","AL",1,63,41,"US HOUSE",4,"GEN",NA,FALSE,"ROBERT B ADERHOLT","R",FALSE,"TOTAL",199071,269118,FALSE,20230706,FALSE
2012,"ALABAMA","AL",1,63,41,"US HOUSE",5,"GEN",NA,FALSE,"MO BROOKS","R",FALSE,"TOTAL",189185,291293,FALSE,20230706,FALSE
2012,"ALABAMA","AL",1,63,41,"US HOUSE",6,"GEN",NA,FALSE,"SPENCER BACHUS","R",FALSE,"TOTAL",219262,308102,FALSE,20230706,FALSE
2012,"ALABAMA","AL",1,63,41,"US HOUSE",7,"GEN",NA,FALSE,"TERRI A SEWELL","D",FALSE,"TOTAL",232520,306558,FALSE,20230706,FALSE
2012,"ALASKA","AK",2,94,81,"US HOUSE",0,"GEN",NA,FALSE,"DON YOUNG","R",FALSE,"TOTAL",185296,289804,FALSE,20230706,FALSE
2012,"ARIZONA","AZ",4,86,61,"US HOUSE",1,"GEN",NA,FALSE,"ANN KIRKPATRICK","D",FALSE,"TOTAL",122774,251595,FALSE,20230706,FALSE
2012,"ARIZONA","AZ",4,86,61,"US HOUSE",2,"GEN",NA,FALSE,"RON BARBER","D",FALSE,"TOTAL",147338,292279,FALSE,20230706,FALSE
2012,"ARIZONA","AZ",4,86,61,"US HOUSE",3,"GEN",NA,FALSE,"RAUL M GRIJALVA","D",FALSE,"TOTAL",98468,168698,FALSE,20230706,FALSE
2012,"ARIZONA","AZ",4,86,61,"US HOUSE",4,"GEN",NA,FALSE,"PAUL A GOSAR","R",FALSE,"TOTAL",162907,243760,FALSE,20230706,FALSE
2012,"ARIZONA","AZ",4,86,61,"US HOUSE",5,"GEN",NA,FALSE,"MATT SALMON","R",FALSE,"TOTAL",183470,273059,FALSE,20230706,FALSE
2012,"ARIZONA","AZ",4,86,61,"US HOUSE",6,"GEN",NA,FALSE,"DAVID SCHWEIKERT","R",FALSE,"TOTAL",179706,293177,FALSE,20230706,FALSE
2012,"ARIZONA","AZ",4,86,61,"US HOUSE",7,"GEN",NA,FALSE,"ED PASTOR","D",FALSE,"TOTAL",104489,127827,FALSE,20230706,FALSE
2012,"ARIZONA","AZ",4,86,61,"US HOUSE",8,"GEN",NA,FALSE,"TRENT FRANKS","R",FALSE,"TOTAL",172809,272791,FALSE,20230706,FALSE
2012,"ARIZONA","AZ",4,86,61,"US HOUSE",9,"GEN",NA,FALSE,"KYRSTEN SINEMA","D",FALSE,"TOTAL",121881,250131,FALSE,20230706,FALSE
